allGfishSid	allGfishS	Category	phylum	class	order	family	genus	Functional feeding group	Empirical trophic classification
id184	Lewinella	Prokaryote	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Heterotrophic prokaryotes	Decomposer
id185	uncultured Saprospiraceae	Prokaryote	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured Saprospiraceae	Heterotrophic prokaryotes	Decomposer
id186	uncultured Chitinophagales	Prokaryote	Bacteroidota	Bacteroidia	Chitinophagales	uncultured Chitinophagales	uncultured Chitinophagales	Heterotrophic prokaryotes	Decomposer
id187	Fabibacter	Prokaryote	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fabibacter	Heterotrophic prokaryotes	Decomposer
id188	Marinoscillum	Prokaryote	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	Heterotrophic prokaryotes	Decomposer
id189	uncultured Cyclobacteriaceae	Prokaryote	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured Cyclobacteriaceae	Heterotrophic prokaryotes	Decomposer
id190	Crocinitomix	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	Heterotrophic prokaryotes	Decomposer
id191	Fluviicola	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Heterotrophic prokaryotes	Decomposer
id192	Salinirepens	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens	Heterotrophic prokaryotes	Decomposer
id193	uncultured Crocinitomicaceae	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	uncultured Crocinitomicaceae	Heterotrophic prokaryotes	Decomposer
id194	NS10marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NS10marinegroup	Heterotrophic prokaryotes	Decomposer
id195	Phaeocystidibacter	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Phaeocystidibacter	Heterotrophic prokaryotes	Decomposer
id196	uncultured Cryomorphaceae	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured Cryomorphaceae	Heterotrophic prokaryotes	Decomposer
id197	Aureimarina	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureimarina	Heterotrophic prokaryotes	Decomposer
id198	Flavicella	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavicella	Heterotrophic prokaryotes	Decomposer
id199	Formosa	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	Heterotrophic prokaryotes	Decomposer
id200	Lutibacter	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Heterotrophic prokaryotes	Decomposer
id201	NS2bmarinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2bmarinegroup	Heterotrophic prokaryotes	Decomposer
id202	NS4marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4marinegroup	Heterotrophic prokaryotes	Decomposer
id203	NS5marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5marinegroup	Heterotrophic prokaryotes	Decomposer
id204	Polaribacter	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Heterotrophic prokaryotes	Decomposer
id205	Tenacibaculum	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Heterotrophic prokaryotes	Decomposer
id206	uncultured Flavobacteriaceae	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	uncultured Flavobacteriaceae	Heterotrophic prokaryotes	Decomposer
id207	NS7marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	NS7_marine_group	NS7marinegroup	Heterotrophic prokaryotes	Decomposer
id208	NS9marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9marinegroup	Heterotrophic prokaryotes	Decomposer
id209	NS11-12marinegroup	Prokaryote	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12marinegroup	Heterotrophic prokaryotes	Decomposer
id210	Balneola	Prokaryote	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	Heterotrophic prokaryotes	Decomposer
id211	uncultured Rhodothermaceae	Prokaryote	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured Rhodothermaceae	Heterotrophic prokaryotes	Decomposer
id212	Bdellovibrio	Prokaryote	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Heterotrophic prokaryotes	Decomposer
id213	OM27clade	Prokaryote	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27clade	Heterotrophic prokaryotes	Decomposer
id214	uncultured Oligoflexaceae	Prokaryote	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	uncultured Oligoflexaceae	Heterotrophic prokaryotes	Decomposer
id215	CandidatusNitrosopelagicus	Prokaryote	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	CandidatusNitrosopelagicus	Heterotrophic prokaryotes	Decomposer
id216	CandidatusNitrosopumilus	Prokaryote	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	CandidatusNitrosopumilus	Heterotrophic prokaryotes	Decomposer
id217	CyanobiumPCC-6307	Prokaryote	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	CyanobiumPCC-6307	Autotrophic prokaryotes	Primary producer
id218	SynechococcusCC9902	Prokaryote	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	SynechococcusCC9902	Autotrophic prokaryotes	Primary producer
id219	SchizothrixLEGE07164	Prokaryote	Cyanobacteria	Cyanobacteriia	Synechococcales	Synechococcales_Incertae_Sedis	SchizothrixLEGE07164	Autotrophic prokaryotes	Primary producer
id220	Dadabacteriales	Prokaryote	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales	Dadabacteriales	Heterotrophic prokaryotes	Decomposer
id221	Bradymonadales	Prokaryote	Desulfobacterota	Desulfuromonadia	Bradymonadales	Bradymonadales	Bradymonadales	Heterotrophic prokaryotes	Decomposer
id222	PB19	Prokaryote	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	Heterotrophic prokaryotes	Decomposer
id223	Acholeplasma	Prokaryote	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Heterotrophic prokaryotes	Decomposer
id224	Propionigenium	Prokaryote	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium	Heterotrophic prokaryotes	Decomposer
id225	Psychrilyobacter	Prokaryote	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter	Heterotrophic prokaryotes	Decomposer
id226	BD2-11terrestrialgroup	Prokaryote	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11terrestrialgroup	Heterotrophic prokaryotes	Decomposer
id227	Marinimicrobia(SAR406clade)	Prokaryote	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia(SAR406clade)	Heterotrophic prokaryotes	Decomposer
id228	P3OB-42	Prokaryote	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	Heterotrophic prokaryotes	Decomposer
id229	Blfdi19	Prokaryote	Myxococcota	Polyangia	Blfdi19	Blfdi19	Blfdi19	Heterotrophic prokaryotes	Decomposer
id230	BIrii41	Prokaryote	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	Heterotrophic prokaryotes	Decomposer
id231	PAUC34f	Prokaryote	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	Heterotrophic prokaryotes	Decomposer
id232	BD7-11	Prokaryote	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	Heterotrophic prokaryotes	Decomposer
id233	OM190	Prokaryote	Planctomycetota	OM190	OM190	OM190	OM190	Heterotrophic prokaryotes	Decomposer
id234	CL500-3	Prokaryote	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	Heterotrophic prokaryotes	Decomposer
id235	Phycisphaera	Prokaryote	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Heterotrophic prokaryotes	Decomposer
id236	Pla3lineage	Prokaryote	Planctomycetota	Pla3_lineage	Pla3_lineage	Pla3_lineage	Pla3lineage	Heterotrophic prokaryotes	Decomposer
id237	Blastopirellula	Prokaryote	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	Heterotrophic prokaryotes	Decomposer
id238	Pirellula	Prokaryote	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	Heterotrophic prokaryotes	Decomposer
id239	Rhodopirellula	Prokaryote	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	Heterotrophic prokaryotes	Decomposer
id240	Rubripirellula	Prokaryote	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	Heterotrophic prokaryotes	Decomposer
id241	uncultured Pirellulaceae	Prokaryote	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured Pirellulaceae	Heterotrophic prokaryotes	Decomposer
id242	uncultured Gimesiaceae	Prokaryote	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	uncultured Gimesiaceae	Heterotrophic prokaryotes	Decomposer
id243	uncultured Rubinisphaeraceae	Prokaryote	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	uncultured Rubinisphaeraceae	Heterotrophic prokaryotes	Decomposer
id244	Maricaulis	Prokaryote	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Maricaulis	Heterotrophic prokaryotes	Decomposer
id245	uncultured Hyphomonadaceae	Prokaryote	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured Hyphomonadaceae	Heterotrophic prokaryotes	Decomposer
id246	uncultured Defluviicoccales	Prokaryote	Proteobacteria	Alphaproteobacteria	Defluviicoccales	uncultured Defluviicoccales	uncultured Defluviicoccales	Heterotrophic prokaryotes	Decomposer
id247	PS1clade	Prokaryote	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1clade	Heterotrophic prokaryotes	Decomposer
id248	CandidatusPuniceispirillum	Prokaryote	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	CandidatusPuniceispirillum	Heterotrophic prokaryotes	Decomposer
id249	SAR116clade	Prokaryote	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116clade	Heterotrophic prokaryotes	Decomposer
id250	uncultured Puniceispirillales	Prokaryote	Proteobacteria	Alphaproteobacteria	Puniceispirillales	uncultured Puniceispirillales	uncultured Puniceispirillales	Heterotrophic prokaryotes	Decomposer
id251	Stappiaceae	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappiaceae	Heterotrophic prokaryotes	Decomposer
id252	Aestuariicoccus	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariicoccus	Heterotrophic prokaryotes	Decomposer
id253	Amylibacter	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Heterotrophic prokaryotes	Decomposer
id254	Ascidiaceihabitans	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Heterotrophic prokaryotes	Decomposer
id255	HIMB11	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	Heterotrophic prokaryotes	Decomposer
id256	Paracoccus	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Heterotrophic prokaryotes	Decomposer
id257	uncultured Magnetospiraceae	Prokaryote	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured Magnetospiraceae	Heterotrophic prokaryotes	Decomposer
id258	S25-593	Prokaryote	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593	Heterotrophic prokaryotes	Decomposer
id259	CladeIa	Prokaryote	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	CladeIa	Heterotrophic prokaryotes	Decomposer
id260	CladeII	Prokaryote	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	CladeII	Heterotrophic prokaryotes	Decomposer
id261	Sphingobium	Prokaryote	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Heterotrophic prokaryotes	Decomposer
id262	OM75clade	Prokaryote	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75clade	Heterotrophic prokaryotes	Decomposer
id263	uncultured Alphaproteobacteria	Prokaryote	Proteobacteria	Alphaproteobacteria	uncultured Alphaproteobacteria	uncultured Alphaproteobacteria	uncultured Alphaproteobacteria	Heterotrophic prokaryotes	Decomposer
id264	Aquabacterium	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	Heterotrophic prokaryotes	Decomposer
id265	Comamonas	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Heterotrophic prokaryotes	Decomposer
id266	OM43clade	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43clade	Heterotrophic prokaryotes	Decomposer
id267	MWH-UniP1aquaticgroup	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	MWH-UniP1_aquatic_group	MWH-UniP1aquaticgroup	Heterotrophic prokaryotes	Decomposer
id268	IS-44	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	Heterotrophic prokaryotes	Decomposer
id269	mle1-7	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7	Heterotrophic prokaryotes	Decomposer
id270	Methyloversatilis	Prokaryote	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	Heterotrophic prokaryotes	Decomposer
id271	Aliiglaciecola	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aliiglaciecola	Heterotrophic prokaryotes	Decomposer
id272	Glaciecola	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Glaciecola	Heterotrophic prokaryotes	Decomposer
id273	Rheinheimera	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Rheinheimera	Heterotrophic prokaryotes	Decomposer
id274	uncultured Alteromonadaceae	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	uncultured Alteromonadaceae	Heterotrophic prokaryotes	Decomposer
id275	Thalassotalea	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea	Heterotrophic prokaryotes	Decomposer
id276	Vibrio	Prokaryote	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Heterotrophic prokaryotes	Decomposer
id277	HOC36	Prokaryote	Proteobacteria	Gammaproteobacteria	HOC36	HOC36	HOC36	Heterotrophic prokaryotes	Decomposer
id278	Cm1-21	Prokaryote	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	Cm1-21	Heterotrophic prokaryotes	Decomposer
id279	Alcanivorax	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae1	Alcanivorax	Autotrophic prokaryotes	Primary producer
id280	Aestuariicella	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Aestuariicella	Heterotrophic prokaryotes	Decomposer
id281	Halioglobus	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus	Heterotrophic prokaryotes	Decomposer
id282	Luminiphilus	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Heterotrophic prokaryotes	Decomposer
id283	OM60(NOR5)clade	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5)clade	Heterotrophic prokaryotes	Decomposer
id284	KI89Aclade	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A_clade	KI89Aclade	Heterotrophic prokaryotes	Decomposer
id285	Litoricola	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	Litoricola	Heterotrophic prokaryotes	Decomposer
id286	Acinetobacter	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Heterotrophic prokaryotes	Decomposer
id287	Marinobacterium	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	Heterotrophic prokaryotes	Decomposer
id288	uncultured Nitrincolaceae	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	uncultured Nitrincolaceae	Heterotrophic prokaryotes	Decomposer
id289	OM182clade	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182_clade	OM182clade	Heterotrophic prokaryotes	Decomposer
id290	SAR92clade	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92clade	Heterotrophic prokaryotes	Decomposer
id291	Pseudohongiella	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	Heterotrophic prokaryotes	Decomposer
id292	Pseudomonas	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Heterotrophic prokaryotes	Decomposer
id293	SAR86clade	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86_clade	SAR86clade	Heterotrophic prokaryotes	Decomposer
id294	SUP05cluster	Prokaryote	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05cluster	Heterotrophic prokaryotes	Decomposer
id295	Woeseia	Prokaryote	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Heterotrophic prokaryotes	Decomposer
id296	uncultured Thiotrichaceae	Prokaryote	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured Thiotrichaceae	Heterotrophic prokaryotes	Decomposer
id297	UBA10353marinegroup	Prokaryote	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	UBA10353_marine_group	UBA10353marinegroup	Heterotrophic prokaryotes	Decomposer
id298	SAR324clade(MarinegroupB)	Prokaryote	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324clade(MarinegroupB)	Heterotrophic prokaryotes	Decomposer
id299	MarineGroupII	Prokaryote	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II	MarineGroupII	Heterotrophic prokaryotes	Decomposer
id300	uncultured Kiritimatiellaceae	Prokaryote	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	uncultured Kiritimatiellaceae	Heterotrophic prokaryotes	Decomposer
id301	WCHB1-41	Prokaryote	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	Heterotrophic prokaryotes	Decomposer
id302	Lentisphaera	Prokaryote	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera	Heterotrophic prokaryotes	Decomposer
id303	Arctic97B-4marinegroup	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Arctic97B-4_marine_group	Arctic97B-4_marine_group	Arctic97B-4marinegroup	Heterotrophic prokaryotes	Decomposer
id304	Coraliomargarita	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	Heterotrophic prokaryotes	Decomposer
id305	Lentimonas	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	Heterotrophic prokaryotes	Decomposer
id306	MB11C04marinegroup	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04marinegroup	Heterotrophic prokaryotes	Decomposer
id307	SCGCAAA164-E04	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGCAAA164-E04	Heterotrophic prokaryotes	Decomposer
id308	DEV007	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	Heterotrophic prokaryotes	Decomposer
id309	Persicirhabdus	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus	Heterotrophic prokaryotes	Decomposer
id310	Roseibacillus	Prokaryote	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	Heterotrophic prokaryotes	Decomposer
id311	Apusomonadidae_Group-2B_X	Protist	Apusomonada_X	Apusomonadidae	Apusomonadidae_Group-2	Apusomonadidae_Group-2B	Apusomonadidae_Group-2B_X	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id312	Bilabrum	Protist	Bigyra	Bicoecea	Anoecales	Anoecales_X	Bilabrum	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id313	MAST-12D	Protist	Bigyra	Opalozoa	Opalozoa_X	MAST-12	MAST-12D	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id314	MAST-4B	Protist	Bigyra	Sagenista	Sagenista_X	MAST-4	MAST-4B	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id315	Pterocystida_XXX	Protist	Centroplasthelida_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XXX	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id316	Bigelowiella	Protist	Cercozoa	Chlorarachniophyceae	Chlorarachnida	Chlorarachnida_X	Bigelowiella	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id317	Novel-clade-2_X	Protist	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Novel-clade-2	Novel-clade-2_X	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id318	Cryothecomonas	Protist	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryothecomonas-lineage	Cryothecomonas	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id319	Bathycoccus	Protist	Chlorophyta_X	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Autotrophic protist	Primary producer
id320	Ostreococcus	Protist	Chlorophyta_X	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Autotrophic protist	Primary producer
id321	Micromonas	Protist	Chlorophyta_X	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Autotrophic protist	Primary producer
id322	Acrochaete	Protist	Chlorophyta_X	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Acrochaete	Endophytic green algae	The primary consumers/Herbivorous fish/detritivore
id323	Ulva	Protist	Chlorophyta_X	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Ulva	Autotrophic protist	Primary producer
id324	Cyclotrichium	Protist	Ciliophora	Cyclotrichium_like_organism	Cyclotrichium_like_organism_X	Cyclotrichium_like_organism_XX	Cyclotrichium	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id325	Pelagostrobilidium	Protist	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	Mixotrophic protist	Both Primary producers and primary consumers
id326	Tintinnopsis_07	Protist	Ciliophora	Spirotrichea	Choreotrichida-Tintinnina	TIN_07	Tintinnopsis_07	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id327	Amphorellopsis	Protist	Ciliophora	Spirotrichea	Choreotrichida-Tintinnina	Tintinnidae	Amphorellopsis	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id328	Oligotrichida_XX	Protist	Ciliophora	Spirotrichea	Oligotrichida	Oligotrichida_X	Oligotrichida_XX	Unknown	Unknown
id329	Strombidiidae_X	Protist	Ciliophora	Spirotrichea	Oligotrichida	Strombidiidae	Strombidiidae_X	Mixotrophic protist	Both Primary producers and primary consumers
id330	Strombidium	Protist	Ciliophora	Spirotrichea	Oligotrichida	Strombidiidae	Strombidium	Mixotrophic protist	Both Primary producers and primary consumers
id331	Pseudotontonia	Protist	Ciliophora	Spirotrichea	Oligotrichida	Tontoniidae	Pseudotontonia	Mixotrophic protist	Both Primary producers and primary consumers
id332	Spirotontonia	Protist	Ciliophora	Spirotrichea	Oligotrichida	Tontoniidae	Spirotontonia	Mixotrophic protist	Both Primary producers and primary consumers
id333	Plagioselmis	Protist	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Plagioselmis	Mixotrophic protist	Both Primary producers and primary consumers
id334	Proteomonas	Protist	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Proteomonas	Mixotrophic protist	Both Primary producers and primary consumers
id335	Teleaulax	Protist	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Teleaulax	Mixotrophic protist	Both Primary producers and primary consumers
id336	Chroomonas	Protist	Cryptophyta_X	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Chroomonas	Mixotrophic protist	Both Primary producers and primary consumers
id337	Rhodomonas	Protist	Cryptophyta_X	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	Mixotrophic protist	Both Primary producers and primary consumers
id338	Plagioselmis:nucl	Protist	Cryptophyta_X:nucl	Cryptophyceae:nucl	Cryptomonadales:nucl	Cryptomonadales_X:nucl	Plagioselmis:nucl	Mixotrophic protist	Both Primary producers and primary consumers
id339	Dinophyceae_XXX	Protist	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Unknown	Unknown
id340	Oodinium	Protist	Dinoflagellata	Dinophyceae	Dinophyceae_X	Oodiniaceae	Oodinium	Parasite protist	The primary consumers/Herbivorous fish/detritivore
id341	Tripos	Protist	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Mixotrophic protist	Both Primary producers and primary consumers
id342	Gymnodinium	Protist	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Mixotrophic protist	Both Primary producers and primary consumers
id343	Gyrodinium	Protist	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Heterotrophic protist	The primary consumers/Herbivorous fish/detritivore
id344	Levanderina	Protist	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniales_X	Levanderina	Mixotrophic protist	Both Primary producers and primary consumers
id345	Karlodinium	Protist	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Mixotrophic protist	Both Primary producers and primary consumers
id346	Takayama	Protist	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Takayama	Mixotrophic protist	Both Primary producers and primary consumers
