Sample	Region_R	Region_p	Site2_R	Site2_p	Season_R	Season_p	SxR_R	SxR_p
01prok_corrected	0.223388258827917	1e-04	0.156157966277226	1e-04	0.550545205226587	1e-04	0.831404108726999	1e-04
02protist_corrected	0.0999711810676567	1e-04	0.0994935111168646	1e-04	0.566026579198527	1e-04	0.733912640107015	1e-04
03ben	0.249089660784214	1e-04	0.328601856047121	1e-04	0.326152845436102	1e-04	0.528720814409672	1e-04
04fish	0.0816960224222594	1e-04	0.130449542595769	1e-04	0.15116162707239	1e-04	0.366573351888411	1e-04
allG_fishS_functional_feedgroup	0.13945989930326	1e-04	0.16459337950527	1e-04	0.281652009194432	1e-04	0.55303839390703	1e-04
