Sample	Motu204	Motu214	Motu184	Motu182	Motu213	Motu181	Motu179	Motu178	Motu180	Motu175	Motu176	Motu177	Motu174	Motu215	Motu172	Motu171	Motu168	Motu169	Motu166	Motu167	Motu162	Motu163	Motu164	Motu165	Motu161	Motu160	Motu157	Motu159	Motu152	Motu158	Motu153	Motu151	Motu149	Motu148	Motu154	Motu144	Motu142	Motu147	Motu143	Motu140	Motu145	Motu138	Motu141	Motu146	Motu136	Motu131	Motu137	Motu134	Motu132	Motu133	Motu130	Motu128	Motu129	Motu126	Motu123	Motu127	Motu122	Motu135	Motu125	Motu121	Motu119	Motu118	Motu117	Motu114	Motu115	Motu113	Motu108	Motu112	Motu111	Motu107	Motu99	Motu104	Motu102	Motu109	Motu95	Motu96	Motu97	Motu98	Motu94	Motu91	Motu89	Motu90	Motu93	Motu84	Motu86	Motu85	Motu83	Motu82	Motu81	Motu79	Motu77	Motu78	Motu101	Motu73	Motu75	Motu74	Motu69	Motu80	Motu67	Motu70	Motu66	Motu63	Motu64	Motu60	Motu62	Motu61	Motu57	Motu59	Motu58	Motu54	Motu53	Motu65	Motu68	Motu49	Motu50	Motu48	Motu51	Motu44	Motu40	Motu39	Motu41	Motu106	Motu42	Motu43	Motu35	Motu36	Motu100	Motu34	Motu30	Motu31	Motu28	Motu29	Motu32	Motu76	Motu71	Motu26	Motu103	Motu25	Motu23	Motu52	Motu87	Motu22	Motu20	Motu18	Motu17	Motu15	Motu19	Motu14	Motu11	Motu10	Motu9	Motu16	Motu7	Motu8	Motu5	Motu21	Motu3	Motu1	Motu2
SKLKW1May	65	4	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	40	0	0	9	0	10	0	0	0	4	0	0	0	0	0	43	0	0	0	0	0	65	1157	0	0	0	6	2	0	30	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	5	0	0	0	0	0	75	0	0	0	0	0	0	1	0	0	0	0	42	0	0	1	77	2	72	0	0	0	0	3	0	0	0	3	179	0	70	0	0	248	1089	253	33	1	0	21	0	0	290	0	3432	221	139	54	1	32947	13	240	1492	15	400	158	1991	101	3113
SKLKW1Nov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	103	0	0	0	0	0	0	0	130	112	0	0	0	0	0	0	45066	133	0	0	0	0	70	0	0	0	0	0	32	45	0	0	0	103	0	0	1	0	0	0	0	0	0	0	25	0	0	38	0	1	451	0	0	0	0	0	294	68	114	89	0	81	0	0	0	0	0	0	0	0	357	166	778
SKLKW2Aug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	621	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	7	0	0	24	0	0	2260	0	9	0	0	0	0	0	0	29	1987	0	0	18	0	0	0	3915	0	15	0	0	0	0	3	12	0	0	0	0	0	0	0	730	21	1738	0	0	0	0	0	134	10	0	0	0	0	3154	20	1901	8	0	0	2	15	18	0	0	0	0	0	10	0	0	33	0	10	0	1038	0	0	0	0	0	0	1713	22251	6554
SKLKW2Feb	0	19	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	131	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	5	0	0	2	0	0	0	0	83	0	0	30	0	121	0	0	167	0	420	0	0	0	0	9199	0	0	0	0	81	0	2	0	0	0	206	0	144	2354	1	27	78	3174	21	49	2	0	9578	0	3	0	157	1	46	288	96	0	400	0	480	3985	4	4	1367	1991	2174	11132
SKLKW2May	558	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	89	0	0	1	0	37	0	0	0	0	0	0	0	0	348	1	0	64	0	0	0	525	35	0	0	0	0	5	7	8346	0	0	2	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	40	0	0	0	0	0	16	3	0	2	0	0	0	0	0	229	0	0	0	5	0	7	12	0	0	0	0	114	0	17	27	122	14	64	5	0	0	0	1	0	2	0	0	302	0	21	0	0	269	139	79	45	6	19	69	0	43	8893	15	1485	279	28	95	1	4449	21	197	134	19	592	224	4030	320	15563
SKLKW2Nov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	38	0	0	0	0	64	0	0	4335	0	0	0	15	11	0	0	219	4269	0	0	0	0	21	0	67	7789	0	0	7	0	45	0	0	0	0	0	1872	0	0	0	0	7208	0	0	25	21	0	0	0	0	34	0	5561	0	0	11	9	5	2	0	0	0	0	0	13071	44	91	0	0	230	0	11	0	0	0	0	0	0	857	18	2311
SKLKW3Aug	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	28	0	0	6	0	9	0	0	0	0	0	0	51	11	0	0	8	0	0	0	21	0	23	0	0	1	0	10	11	0	0	0	0	0	0	0	7	5	2013	0	0	0	0	0	307	17	0	0	0	0	21	37	4	15	0	0	8	17	6	0	0	0	0	0	19	0	0	12	0	16	0	3485	0	0	0	0	0	0	45	26105	15841
SKLKW3Feb	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	88	0	0	0	0	9	0	0	0	0	0	224	0	0	0	0	0	0	0	11	0	0	0	0	16	0	0	0	0	0	0	17	0	11	0	0	0	9253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	10	0	0	0	0	0	0	1	0	0	97	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	42	0	16	0	0	0	0	0	7	48	5	0	484	1808	0	14	75	7242	0	9	94	256	1	11	14116	48	0	227	224	75	255	0	13450
SKLKW3May	127	13	52	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	11	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	3	0	0	0	0	1	0	15	0	0	280	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	943	0	0	0	0	0	0	0	0	188	0	0	2	0	0	1333	0	0	0	0	0	0	3	0	0	0	0	37	0	23	87	2455	0	2698	0	0	0	0	0	0	1	0	0	2055	1	540	0	0	1012	11	400	0	1	0	18	0	2	3907	0	4961	1264	108	58	1	6851	550	170	3281	7	2386	4815	992	85	6394
SKLKW3Nov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	35	0	0	0	0	0	0	27	31	0	0	0	0	4823	0	0	0	0	0	16	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2	0	0	2452	0	0	0	0	0	0	3	0	64	2703	3411	0	8	3405	0	0	0	22	0	0	0	0	10596	0	20085
