Sample	arco_Zotu1	arco_Zotu10	arco_Zotu100	arco_Zotu101	arco_Zotu102	arco_Zotu104	arco_Zotu1046	arco_Zotu105	arco_Zotu106	arco_Zotu107	arco_Zotu108	arco_Zotu109	arco_Zotu11	arco_Zotu110	arco_Zotu112	arco_Zotu113	arco_Zotu114	arco_Zotu115	arco_Zotu116	arco_Zotu117	arco_Zotu118	arco_Zotu119	arco_Zotu12	arco_Zotu123	arco_Zotu124	arco_Zotu125	arco_Zotu126	arco_Zotu127	arco_Zotu128	arco_Zotu1283	arco_Zotu1284	arco_Zotu129	arco_Zotu13	arco_Zotu131	arco_Zotu133	arco_Zotu1346	arco_Zotu135	arco_Zotu136	arco_Zotu14	arco_Zotu140	arco_Zotu141	arco_Zotu142	arco_Zotu143	arco_Zotu145	arco_Zotu146	arco_Zotu147	arco_Zotu148	arco_Zotu149	arco_Zotu15	arco_Zotu151	arco_Zotu152	arco_Zotu153	arco_Zotu154	arco_Zotu155	arco_Zotu156	arco_Zotu157	arco_Zotu158	arco_Zotu16	arco_Zotu160	arco_Zotu161	arco_Zotu162	arco_Zotu164	arco_Zotu165	arco_Zotu166	arco_Zotu167	arco_Zotu169	arco_Zotu17	arco_Zotu171	arco_Zotu172	arco_Zotu173	arco_Zotu174	arco_Zotu175	arco_Zotu176	arco_Zotu177	arco_Zotu179	arco_Zotu18	arco_Zotu181	arco_Zotu182	arco_Zotu183	arco_Zotu184	arco_Zotu185	arco_Zotu186	arco_Zotu187	arco_Zotu192	arco_Zotu193	arco_Zotu194	arco_Zotu195	arco_Zotu1973	arco_Zotu198	arco_Zotu199	arco_Zotu2	arco_Zotu20	arco_Zotu201	arco_Zotu202	arco_Zotu204	arco_Zotu206	arco_Zotu208	arco_Zotu21	arco_Zotu210	arco_Zotu2129	arco_Zotu213	arco_Zotu217	arco_Zotu218	arco_Zotu22	arco_Zotu220	arco_Zotu221	arco_Zotu222	arco_Zotu224	arco_Zotu225	arco_Zotu226	arco_Zotu23	arco_Zotu230	arco_Zotu231	arco_Zotu232	arco_Zotu234	arco_Zotu235	arco_Zotu236	arco_Zotu238	arco_Zotu239	arco_Zotu24	arco_Zotu240	arco_Zotu241	arco_Zotu242	arco_Zotu243	arco_Zotu245	arco_Zotu246	arco_Zotu247	arco_Zotu248	arco_Zotu25	arco_Zotu251	arco_Zotu252	arco_Zotu2523	arco_Zotu254	arco_Zotu256	arco_Zotu258	arco_Zotu260	arco_Zotu261	arco_Zotu262	arco_Zotu264	arco_Zotu265	arco_Zotu266	arco_Zotu267	arco_Zotu268	arco_Zotu269	arco_Zotu27	arco_Zotu270	arco_Zotu271	arco_Zotu272	arco_Zotu273	arco_Zotu276	arco_Zotu277	arco_Zotu278	arco_Zotu28	arco_Zotu280	arco_Zotu281	arco_Zotu2816	arco_Zotu282	arco_Zotu288	arco_Zotu29	arco_Zotu290	arco_Zotu291	arco_Zotu294	arco_Zotu295	arco_Zotu296	arco_Zotu298	arco_Zotu299	arco_Zotu3	arco_Zotu300	arco_Zotu304	arco_Zotu305	arco_Zotu306	arco_Zotu308	arco_Zotu311	arco_Zotu312	arco_Zotu318	arco_Zotu319	arco_Zotu32	arco_Zotu320	arco_Zotu321	arco_Zotu322	arco_Zotu325	arco_Zotu326	arco_Zotu327	arco_Zotu33	arco_Zotu330	arco_Zotu331	arco_Zotu332	arco_Zotu336	arco_Zotu338	arco_Zotu34	arco_Zotu340	arco_Zotu343	arco_Zotu344	arco_Zotu346	arco_Zotu349	arco_Zotu35	arco_Zotu350	arco_Zotu358	arco_Zotu36	arco_Zotu363	arco_Zotu364	arco_Zotu367	arco_Zotu37	arco_Zotu373	arco_Zotu377	arco_Zotu378	arco_Zotu38	arco_Zotu383	arco_Zotu39	arco_Zotu393	arco_Zotu397	arco_Zotu4	arco_Zotu412	arco_Zotu42	arco_Zotu421	arco_Zotu43	arco_Zotu44	arco_Zotu45	arco_Zotu48	arco_Zotu49	arco_Zotu5	arco_Zotu51	arco_Zotu52	arco_Zotu53	arco_Zotu539	arco_Zotu54	arco_Zotu542	arco_Zotu55	arco_Zotu56	arco_Zotu57	arco_Zotu58	arco_Zotu59	arco_Zotu6	arco_Zotu60	arco_Zotu61	arco_Zotu62	arco_Zotu63	arco_Zotu631	arco_Zotu638	arco_Zotu64	arco_Zotu65	arco_Zotu67	arco_Zotu68	arco_Zotu69	arco_Zotu70	arco_Zotu71	arco_Zotu72	arco_Zotu74	arco_Zotu75	arco_Zotu76	arco_Zotu78	arco_Zotu79	arco_Zotu8	arco_Zotu81	arco_Zotu82	arco_Zotu85	arco_Zotu86	arco_Zotu87	arco_Zotu9	arco_Zotu90	arco_Zotu92	arco_Zotu921	arco_Zotu97	arco_Zotu99	ITS_Zotu1	ITS_Zotu10	ITS_Zotu100	ITS_Zotu101	ITS_Zotu104	ITS_Zotu105	ITS_Zotu106	ITS_Zotu107	ITS_Zotu108	ITS_Zotu109	ITS_Zotu11	ITS_Zotu110	ITS_Zotu1108	ITS_Zotu1109	ITS_Zotu111	ITS_Zotu112	ITS_Zotu113	ITS_Zotu114	ITS_Zotu116	ITS_Zotu117	ITS_Zotu118	ITS_Zotu1189	ITS_Zotu119	ITS_Zotu12	ITS_Zotu120	ITS_Zotu121	ITS_Zotu123	ITS_Zotu124	ITS_Zotu126	ITS_Zotu127	ITS_Zotu1279	ITS_Zotu128	ITS_Zotu129	ITS_Zotu13	ITS_Zotu130	ITS_Zotu131	ITS_Zotu132	ITS_Zotu133	ITS_Zotu1339	ITS_Zotu134	ITS_Zotu135	ITS_Zotu1353	ITS_Zotu136	ITS_Zotu1363	ITS_Zotu137	ITS_Zotu138	ITS_Zotu14	ITS_Zotu140	ITS_Zotu141	ITS_Zotu142	ITS_Zotu143	ITS_Zotu144	ITS_Zotu145	ITS_Zotu146	ITS_Zotu147	ITS_Zotu148	ITS_Zotu149	ITS_Zotu15	ITS_Zotu151	ITS_Zotu152	ITS_Zotu153	ITS_Zotu154	ITS_Zotu156	ITS_Zotu157	ITS_Zotu158	ITS_Zotu159	ITS_Zotu1594	ITS_Zotu16	ITS_Zotu161	ITS_Zotu1614	ITS_Zotu162	ITS_Zotu164	ITS_Zotu166	ITS_Zotu167	ITS_Zotu168	ITS_Zotu169	ITS_Zotu17	ITS_Zotu170	ITS_Zotu172	ITS_Zotu173	ITS_Zotu174	ITS_Zotu175	ITS_Zotu176	ITS_Zotu177	ITS_Zotu179	ITS_Zotu18	ITS_Zotu180	ITS_Zotu181	ITS_Zotu182	ITS_Zotu183	ITS_Zotu184	ITS_Zotu185	ITS_Zotu186	ITS_Zotu187	ITS_Zotu188	ITS_Zotu189	ITS_Zotu19	ITS_Zotu190	ITS_Zotu191	ITS_Zotu192	ITS_Zotu193	ITS_Zotu194	ITS_Zotu195	ITS_Zotu198	ITS_Zotu199	ITS_Zotu20	ITS_Zotu200	ITS_Zotu202	ITS_Zotu203	ITS_Zotu204	ITS_Zotu207	ITS_Zotu209	ITS_Zotu21	ITS_Zotu210	ITS_Zotu211	ITS_Zotu212	ITS_Zotu216	ITS_Zotu218	ITS_Zotu219	ITS_Zotu22	ITS_Zotu220	ITS_Zotu221	ITS_Zotu223	ITS_Zotu23	ITS_Zotu230	ITS_Zotu231	ITS_Zotu232	ITS_Zotu233	ITS_Zotu234	ITS_Zotu235	ITS_Zotu236	ITS_Zotu237	ITS_Zotu24	ITS_Zotu241	ITS_Zotu243	ITS_Zotu2437	ITS_Zotu244	ITS_Zotu245	ITS_Zotu246	ITS_Zotu247	ITS_Zotu248	ITS_Zotu249	ITS_Zotu25	ITS_Zotu250	ITS_Zotu251	ITS_Zotu253	ITS_Zotu254	ITS_Zotu255	ITS_Zotu257	ITS_Zotu258	ITS_Zotu26	ITS_Zotu262	ITS_Zotu264	ITS_Zotu266	ITS_Zotu267	ITS_Zotu269	ITS_Zotu27	ITS_Zotu270	ITS_Zotu2721	ITS_Zotu274	ITS_Zotu275	ITS_Zotu276	ITS_Zotu277	ITS_Zotu278	ITS_Zotu279	ITS_Zotu28	ITS_Zotu281	ITS_Zotu282	ITS_Zotu284	ITS_Zotu285	ITS_Zotu286	ITS_Zotu287	ITS_Zotu288	ITS_Zotu289	ITS_Zotu29	ITS_Zotu291	ITS_Zotu294	ITS_Zotu295	ITS_Zotu296	ITS_Zotu297	ITS_Zotu3	ITS_Zotu300	ITS_Zotu306	ITS_Zotu307	ITS_Zotu308	ITS_Zotu309	ITS_Zotu31	ITS_Zotu313	ITS_Zotu315	ITS_Zotu319	ITS_Zotu32	ITS_Zotu321	ITS_Zotu322	ITS_Zotu323	ITS_Zotu325	ITS_Zotu326	ITS_Zotu328	ITS_Zotu329	ITS_Zotu33	ITS_Zotu330	ITS_Zotu331	ITS_Zotu332	ITS_Zotu333	ITS_Zotu334	ITS_Zotu336	ITS_Zotu337	ITS_Zotu339	ITS_Zotu340	ITS_Zotu342	ITS_Zotu343	ITS_Zotu344	ITS_Zotu345	ITS_Zotu346	ITS_Zotu35	ITS_Zotu351	ITS_Zotu352	ITS_Zotu353	ITS_Zotu355	ITS_Zotu358	ITS_Zotu36	ITS_Zotu37	ITS_Zotu372	ITS_Zotu373	ITS_Zotu378	ITS_Zotu38	ITS_Zotu380	ITS_Zotu389	ITS_Zotu39	ITS_Zotu397	ITS_Zotu4	ITS_Zotu40	ITS_Zotu41	ITS_Zotu415	ITS_Zotu418	ITS_Zotu42	ITS_Zotu43	ITS_Zotu44	ITS_Zotu449	ITS_Zotu45	ITS_Zotu46	ITS_Zotu47	ITS_Zotu48	ITS_Zotu49	ITS_Zotu491	ITS_Zotu5	ITS_Zotu50	ITS_Zotu53	ITS_Zotu539	ITS_Zotu54	ITS_Zotu540	ITS_Zotu55	ITS_Zotu56	ITS_Zotu57	ITS_Zotu58	ITS_Zotu59	ITS_Zotu6	ITS_Zotu60	ITS_Zotu61	ITS_Zotu64	ITS_Zotu65	ITS_Zotu66	ITS_Zotu67	ITS_Zotu69	ITS_Zotu7	ITS_Zotu70	ITS_Zotu71	ITS_Zotu72	ITS_Zotu73	ITS_Zotu74	ITS_Zotu75	ITS_Zotu76	ITS_Zotu77	ITS_Zotu78	ITS_Zotu79	ITS_Zotu8	ITS_Zotu81	ITS_Zotu82	ITS_Zotu83	ITS_Zotu84	ITS_Zotu85	ITS_Zotu86	ITS_Zotu87	ITS_Zotu877	ITS_Zotu88	ITS_Zotu89	ITS_Zotu9	ITS_Zotu908	ITS_Zotu91	ITS_Zotu94	ITS_Zotu95	ITS_Zotu96	ITS_Zotu98	ITS_Zotu99
HKBea1Aug	12268	48	0	0	1	0	0	1	0	0	1	0	267	2	0	1	3	1	4	0	10	11	37	1	0	381	0	0	0	0	0	1	132	0	0	4	0	0	48	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	24	0	8	0	0	2	2	0	1	0	0	4	0	6	70	1	0	0	0	0	0	1	12	0	5	0	272	4	10	0	0	0	0	101	0	0	1	0	3	0	0	0	0	0	21	1	0	0	0	0	0	0	0	88	0	5	1	0	0	0	0	0	40	0	3	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	3	0	2	0	14	1	0	2	7	0	0	0	0	0	6	0	0	0	0	0	0	3	22	0	1	0	1	0	0	0	0	0	225	1	0	5	0	0	1	259	0	8	0	0	69	7	0	0	29	1	0	0	0	0	3	0	0	0	31	0	0	2	0	0	267	0	0	627	0	261	5	1	0	1	1	69	304	1	1	58	0	0	0	0	0	51	52	0	0	1	3	7	4	0	1	0	0	0	11	0	1	9	1	0	4	0	0	11	369	30	184	0	7	2	9	0	1	0	20	3	13256	3	12	2	0	0	8	2	2	0	287	1	0	0	1	2	0	0	0	13	1	0	0	0	0	0	0	0	0	22	1	5	0	5	3	0	0	0	1	0	0	0	1	0	0	2	0	25	10	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	10	0	0	0	0	0	0	1	0	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	1	2	21	0	0	1	16	0	0	0	0	0	305	1	0	0	192	0	0	0	0	0	1	0	0	13	0	5	0	1	0	0	0	0	1	0	0	0	0	0	1	0	5	2	0	0	0	0	0	64	0	0	0	0	0	1	0	0	4	28	0	1	0	2	1	0	0	9	0	3	0	0	0	694	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	2	1	0	0	1	1	0	2	0	5	1	14	3	0	546	0	1	0	2	0	0	4	34	0	2	1	4	3	2	1	0	0	4	230	0	3	0	0	712	0	0	0	7	0	208	0	0	4	1	29	0	21	0	0	32	20	0	1	4	0	1	3	0
HKBea1Feb	4302	2	0	0	2	5	0	32	0	0	1	0	670	8	0	2	6	10	0	4	0	0	58	0	0	1	23	2	0	0	1	0	11	5	2	0	3	7	12	0	15	0	0	8	5	0	0	0	11	1	11	0	26	1	0	0	8	0	3	0	2	2	0	0	0	0	0	13	0	0	0	278	3	16	6	0	6	16	0	14	0	0	0	1	0	14	4	0	12	5	3566	0	0	8	0	2	0	74	0	0	0	0	0	0	0	0	0	1	4	0	0	0	6	0	0	3	0	0	0	74	1	3	1	0	0	11	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	236	0	0	208	0	129	0	0	0	0	0	1	0	3	80	0	0	1	0	8	2	0	1589	3	0	0	1	0	0	0	1	0	116	0	0	0	2	0	0	1	0	0	0	0	0	33	2	0	0	3	0	103	2	1	14	0	1	0	11	25	3	2	0	0	7	1	0	710	0	6	0	1	18	37	15	51	661	7	1336	13	0	11	0	0	5	93	33	0	151	52	28	4	33	0	1	5	0	0	34	5	10	1	68	14	2	0	3	603	642	0	0	48	18	0	14	0	2	1	290	0	2918	0	4	0	0	1	6	0	14	17	372	0	6	0	5	1	0	0	0	2	0	0	59	0	5	0	1	556	0	0	2	0	0	79	18	5	8	0	1	0	27	0	1	0	15	1	0	0	136	5	22	0	0	0	0	0	127	463	1	1	0	30	0	0	2	27	2	46	0	0	0	14	13	2	0	0	497	12	0	40	0	0	328	0	0	0	256	0	0	16	1	3	5	0	0	0	33	0	0	1	0	3	0	0	79	14	0	1	1	2	0	0	341	0	0	1	0	0	0	8	6	0	0	0	0	0	0	38	0	1	0	0	9	0	0	0	0	187	0	0	0	0	258	0	0	0	0	0	0	0	0	0	2	0	1	0	63	4	0	0	0	2	0	2	29	78	0	0	0	0	0	53	0	0	1	0	0	1	3	11	2117	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	22	2	0	0	9	0	0	0	0	0	17	15	26	3	0	0	0	0	150	0	0	21	0	39	0	0	0	0	0	0	89	0	0	140	43	247	0	343	0	3	3	289	0	2440	3	329	2	0	0	0	26	4	12	0	0	5	0	1	17	2	0	2	88	0	0	6	1	2	105	0	0	2	7	2596	0	0	8	97	6	2	0	0	2	0	176	7	9	1	58	6	9	0
HKBea1May	4923	0	7	0	13	8	0	0	9	1	0	53	215	0	0	0	3	37	0	16	0	13	260	0	122	0	0	0	3	0	0	2	2	0	0	3	0	0	18	0	0	1	98	0	0	0	0	0	1	0	0	0	0	2	4	0	19	0	3	66	12	0	0	1	0	0	11	0	0	36	11	0	2	2	2	6	4	1	0	0	0	0	0	2	0	1	2	0	9	0	170	0	1	0	0	0	0	145	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	1	0	5	1	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	1	6	0	10	0	0	3	0	0	16	9	0	0	0	0	4	1	0	0	0	0	0	0	196	1	0	0	3	3	0	0	0	0	58	3	3	0	1	0	0	151	0	0	0	0	1	1	0	1	9	5	0	0	3	0	30	0	0	0	38	0	0	0	0	0	52	0	0	269	0	162	0	1	7	109	8	5	176	0	0	27	0	4	0	0	0	53	23	0	8839	8	0	1	9	2	0	1	0	8	42	6	0	0	0	64	7	0	0	0	139	0	1	2	0	2	5	0	10	0	20	11	9578	0	2	5	0	0	29	0	23	0	404	1	0	0	4	4	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	2	3	19	0	0	0	0	0	0	0	0	26	0	1	4	8	0	8	0	1	1	0	0	0	0	6	7	0	0	5	23	12	0	0	1	0	9	0	0	6	0	0	0	0	0	229	0	0	0	0	0	0	0	0	418	31	0	0	0	37	0	0	0	0	0	1	0	0	1	155	0	0	43	0	0	65	7	0	8	3	0	15	0	3	3	0	0	0	1127	7	0	0	0	0	0	0	0	2	0	0	0	5	1	0	0	4	0	0	0	0	0	52	0	23	0	0	0	0	0	0	0	0	0	1	0	97	1	0	0	0	0	0	4	0	4	0	2	4	0	3	0	0	0	979	0	0	0	0	0	307	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	20	0	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	255	0	0	0	1	0	0	1	0	0	0	444	2	0	0	133	7	81	0	5	0	1	11	9	0	448	0	4	0	500	0	17	6	80	3	0	0	26	0	170	5	24	12	32	4	0	8	0	0	0	6	6	0	0	0	19	35	187	3	16	0	0	0	0	0	1	532	3	32	0	4	1	7	0
HKBea1Nov	4144	3	0	0	2	10	0	22	2	1	173	0	607	22	0	0	4	11	967	3	0	922	41	0	0	0	5	0	0	2	0	17	18	2	0	2	39	2	0	0	0	0	0	26	8	7	9	17	3	25	15	0	6	720	0	3	112	0	3	0	6	2	9	2	0	3	0	0	0	0	4	0	0	13	1	0	0	0	0	0	4	0	4	7	1	0	16	1	0	4	4293	0	0	1	0	1	9	634	0	0	0	0	0	0	2	0	0	0	57	0	3	0	24	0	0	2	7	0	0	14	0	0	454	0	458	0	0	3	0	1	0	1	0	12	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	0	2	0	0	0	0	1	5	1	75	8	0	0	1	2	5	0	327	0	9	0	0	0	0	0	0	0	14	0	0	0	0	11	0	11	0	0	0	0	0	190	36	0	0	0	0	13	0	3	48	0	4	1	43	0	3	208	0	0	2	133	1	91	0	9	3	8	0	16	27	13	113	0	14	8	0	1	0	2	17	187	27	85	0	3	98	57	241	0	0	17	0	0	8	36	2	0	20	5	22	6	15	1	355	7	9	173	15	1	75	21	0	2	1	0	6288	0	2	0	0	2	5	17	0	0	97	0	0	0	0	8	1	0	0	0	3	0	0	0	0	0	0	0	19	0	0	2	0	1552	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	4	1	0	4	0	0	17	1	17	0	0	0	0	3	0	2	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1153	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	12	0	0	0	0	0	0	110	7	0	0	110	0	0	0	0	1	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	729	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	1	0	1	0	44	0	1	159	1	50	0	393	0	0	7	4	2302	0	4	0	5	1	4	0	982	0	6	3	0	0	0	1	1	11	4	0	13	0	5	2	0	5	12	30	16	2	13	2	0	0	0	0	0	0	2099	0	0	4	3	0	0	6	0	0	0	25	0	0	1	0	0	2	1
HKBea2Aug	12873	8	34	0	0	0	1	2	2	0	2	17	74	9	0	0	1	2	7	0	0	6	49	25	23	52	3	0	41	0	0	3	0	0	0	2	0	1	708	3	3	0	35	0	4	0	0	0	0	2	1	0	0	0	0	0	32	0	2	24	7	0	0	0	0	1	1	0	0	6	0	0	0	0	0	1	0	1	2	0	0	21	0	1	0	0	7	0	0	0	168	52	3	0	0	0	0	178	0	0	2	0	4	14	5	0	0	2	0	45	0	0	0	0	0	0	0	5	0	5	3	46	0	0	4	0	0	1	37	1	0	0	2	8	1	0	0	0	0	1	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	179	0	0	0	2	0	0	0	0	0	92	0	0	2	0	1	3	288	1	3	0	0	3	15	0	5	28	0	0	1	1	0	49	0	0	0	18	0	0	4	0	0	65	0	0	322	0	219	0	0	1	1	12	27	374	0	3	18	0	5	0	1	2	59	12	0	1	0	3	2	0	0	0	9	0	1	10	0	0	138	4	0	3	1	0	11	168	46	2	0	7	25	11	0	53	0	0	7	8641	163	11	7	34	0	1	134	2	2	829	3	0	1	0	3	0	0	0	0	45	0	6	0	0	39	0	0	0	0	0	11	0	6	0	0	0	22	0	0	0	0	4	0	0	1	0	14	65	37	27	1	0	2	0	0	0	5	0	0	8	2	0	0	11	0	4	10	1	0	2	0	1	0	0	0	11	0	0	0	0	0	176	1	0	0	0	0	0	0	3	0	0	9	0	10	64	0	1	0	8	4	0	6	0	0	8	0	0	80	0	0	7	13	0	1	0	0	0	217	0	0	0	280	2	0	0	0	0	3	0	0	65	1	4	0	7	0	0	0	0	3	2	0	4	0	0	0	0	22	33	0	0	3	0	0	595	0	0	0	0	0	2	0	0	2	28	1	24	1	5	0	0	0	74	0	1	0	0	0	565	0	0	3	0	2	0	0	6	0	1	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	61	14	0	0	0	0	0	0	0	2	1	186	0	0	0	0	0	0	0	0	0	25	48	1	0	0	3	1	94	4	0	0	0	7	1	0	937	0	1	0	38	0	31	98	108	0	104	25	2	2	84	15	6	0	12	7	0	17	0	0	1615	1	6	0	2	0	573	4	18	2	2	0	5	13	0	0	21	271	0	3	0	0	0	9	4
HKBea2Feb	1755	0	0	0	3	6	0	1	0	0	4	0	374	1	0	0	97	170	40	1	0	19	140	0	0	0	17	0	0	3	2	0	0	3	27	0	3	0	2	1	7	23	0	10	0	0	0	0	6	0	0	0	98	64	1	0	6	0	2	0	1	2	0	0	0	0	0	3	0	5	1	6	0	17	5	1	255	28	0	1	0	0	0	0	0	0	0	0	106	1	6948	0	0	1	0	4	0	117	0	0	0	0	0	0	0	0	2	0	373	0	4	5	0	17	0	5	0	0	0	134	0	1	10	0	17	11	1	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	1	1	134	5	1	20	0	12	0	0	19	1	0	2	0	0	142	0	19	0	1	2	0	0	1012	1	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	1	0	0	0	0	0	2	157	0	0	15	0	46	0	2	5	2	0	0	14	6	6	13	0	0	1	3	0	4	0	1	0	6	7	97	23	3	340	65	50	0	0	1	0	1	0	347	3	0	122	25	4	93	675	0	0	0	0	0	2	1	12	0	0	63	0	0	0	115	566	0	1	1238	1	0	8	0	0	5	410	1	313	165	18	3	0	0	5	0	15	18	155	7	0	0	3	20	0	0	0	1	1	2	7	0	0	4	4	13	0	0	1	0	8	326	3	107	13	7	5	0	19	0	1	1	1	0	1	0	12	1	16	0	0	0	3	0	30	444	19	77	0	0	1	52	5	4	2	641	0	1	0	7	0	0	0	2	190	292	2	387	0	3	6	0	0	2	11	0	1	379	2	5	4	2	0	8	70	0	0	0	3	6	0	27	6	1	10	4	2	0	1	17	229	0	1	0	1	1	0	1	7	2	0	0	0	4	0	0	0	3	0	1	29	0	1	4	1	4	0	0	1	2	2108	0	22	6	0	2	0	0	45	0	1	0	1	0	35	0	0	0	0	2	1	12	5	32	0	0	0	6	0	4	0	0	75	1	0	0	3	6	4315	185	0	0	0	0	1	1	0	0	0	0	0	8	28	0	1	0	0	0	0	18	0	0	0	14	0	0	0	0	0	39	10	20	16	0	1	0	0	31	0	0	1	0	4	15	0	35	0	1	62	210	0	1	103	13	86	0	151	0	1	40	91	0	2423	0	88	4	19	1	51	108	6	107	118	0	8	0	213	344	11	0	4	53	0	1	0	4	31	89	2	0	0	0	499	22	17	14	61	13	221	2	0	34	1	254	3	14	7	7	0	3	0
HKBea2May	2874	2	0	0	1	2	3	0	2	0	0	22	174	0	0	0	9	0	0	4	0	1	108	0	126	0	3	1	13	0	1	5	0	1	1	4	0	16	39	0	0	12	85	0	0	2	0	0	4	0	0	0	1	5	10	4	0	2	0	264	0	0	0	0	0	0	70	1	0	19	13	0	2	1	0	81	0	1	0	1	0	0	0	0	0	6	0	1	0	0	208	0	1	0	0	1	0	135	14	0	3	0	0	0	16	0	0	4	0	0	0	0	1	1	3	0	0	147	0	17	0	0	1	0	0	1	1	0	0	6	0	7	2	0	3	0	0	0	0	0	140	0	0	40	11	2	3	0	0	3	0	0	4	4	0	4	0	0	6	0	0	0	1	0	0	0	1505	0	0	0	9	1	0	0	0	0	106	1	0	1	0	0	0	148	0	0	0	4	5	0	1	2	2	0	0	0	6	0	28	0	3	0	80	1	1	0	0	0	4	0	0	352	0	65	0	2	2	2	0	0	92	0	8	37	0	10	0	1	0	67	27	0	9342	16	2	5	11	0	1	4	0	7	31	1	0	0	3	92	7	0	0	7	69	0	0	2	0	6	3	0	1	0	5	48	10797	0	0	43	0	1	191	0	31	6	259	0	0	0	0	3	3	0	0	0	3	1	5	49	0	0	0	0	0	0	0	3	54	0	0	0	2	0	4	0	6	2	3	1	1	3	37	0	6	3	39	0	0	1	0	21	1	41	4	0	3	3	343	1	0	0	0	0	0	0	6	0	0	0	0	0	355	0	0	82	0	20	0	1	0	1142	1	0	0	0	0	0	1	0	1	0	1	0	0	0	7	12	0	1	0	0	26	162	1	0	1	0	5	0	2	0	0	0	0	597	5	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	3	0	15	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	51	0	0	0	0	0	0	19	1	4	0	6	0	0	0	0	1	0	373	0	0	0	1	0	102	0	0	1	0	0	0	0	0	0	0	10	0	5	2	0	0	0	90	0	0	20	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	17	38	0	0	0	3	2	0	0	0	4	0	19	0	0	0	6	0	27	0	0	0	18	88	8	0	373	0	3	0	427	1	129	16	35	2	4	0	19	0	24	6	19	16	21	2	0	26	0	1	0	21	7	0	115	0	2	279	4	0	1	0	2	8	6	0	0	15	2	51	1	9	0	8	0
