ITS2_metazoa_luluotu_filt	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu39	0	2	1	1094	0	305	0	1062	0	0	0	1156	6	0	0	1476	0	0	0	940	15	10	0	1831	275	2	110	22690	25	0	1670	21	119	2	82	6868	38	0	34	234	4	30	59	76	11	5	82	116	8	0	42	29	1120	0	0	133	24	0	0	318	1	3	0	40	14	46	137	0	0	30	47	21	0	0	39	28	0	0	2933	19	1	0	21	18	43	0	46	117	0	7	34	29	0	0	34	35	0	0	40	2352	0	6	11	966	16	0	32
ITS_Zotu43	10	639	20	25	5	94	3	43	2	17	58	10	114	309	331	69	34	16	101	3	2	33	9	28	3	163	1648	3	11	193	213	12	71	9	293	43	37	3	1490	1	2	0	142	5	1	225	147	15	1	50	243	31	30	8	2	1	1	9	1	5	20	41	30	888	200	3	1415	79	416	121	437	842	406	42	719	1137	528	97	198	1933	718	82	183	2201	576	256	1897	3800	9838	1884	2447	536	2089	850	4322	716	1	127	216	237	1	12	169	33	7	76	57
ITS_Zotu47	17	20	14	36	4	4	77	44	4	14	1	254	211	5	20	11	11	9	0	4	6	3	31	30	13	4	16	6	73	54	7	2	280	10	5	10	14	26	11	3	11	33	43	11	13	140	16	16	11	26	6	12	3	44	7	127	342	22	5	5	1532	327	42	1090	6058	16	1362	498	298	103	936	692	423	90	18899	1281	134	139	637	1349	1233	85	195	279	187	275	1996	523	337	920	3180	219	89	81	2452	3606	5	7	100	164	45	30	96	30	14	72	107
ITS_Zotu59	16	6	1	17	311	853	17	5	16	4	0	87	47	2	4	1850	16	2	5	0	192	1	0	940	0	0	8	2	9	23	487	75	10	8	2	3342	0	0	6	263	0	0	21	813	0	13	213	275	80	1	10	180	2225	0	1	6088	52	0	18	58	80	19	80	734	25	3843	1301	9	16	0	660	2236	15	0	2162	208	21	0	505	120	323	51	19	239	19	6	18751	652	31	5	1988	79	44	1	1568	362	0	0	38	45	1	22	45	2	0	23	505
ITS_Zotu45	0	4658	28	14	0	1155	26	16	0	2475	112	1	5	726	12	29	3	47	936	1	0	3174	2	2	36	323	528	1	75	826	141	4	46	31374	331	5	59	173	41	0	12	255	106	11	7	134	318	2	4	96	94	0	8	87	0	1	11	767	0	0	37	384	1	355	31	12	1409	37	48	13	252	59	22	5	166	109	213	6	189	130	56	0	11	61	59	6	387	221	107	0	1053	36	35	17	1049	23	45	0	21	34	2	14	5	3	8	8	14
ITS_Zotu38	1	398	2	241	2	27	3	152	0	1236	89	27	11	274	94	40	56	10	166	4	1082	465	4	263	49	16	432	129	415	33	278	1	49	697	4921	740	123	6	99	24	0	4	297	16	4	29	1261	129	42	1	98	76	419	2	0	12	146	10	0	15	2944	436	0	869	283	1	1755	295	63	41	758	709	46	24	880	2313	142	27	648	1136	85	18	25	377	90	441	1174	267	516	98	15256	72	63	837	7757	114	58	17	11	110	1	6	3	14	2	175	23
ITS_Zotu42	8	2007	607	66	12	780	15	74	5	1229	84	170	48	947	100	145	22	756	352	22	3238	2639	16	686	127	14087	429	646	2105	2355	1225	2	281	3055	2524	478	265	108	50	18	53	183	158	9	62	410	262	33	201	94	194	3	764	73	1	15	130	1168	5	240	600	278	118	52	259	9	389	196	61	18	47	1151	59	6	35	286	1653	1	192	339	66	15	2	148	222	292	285	1534	275	37	244	157	242	37	162	191	20	3	99	192	19	83	12	29	96	180	35
ITS_Zotu35	0	366	3	7	0	145	13	7	0	8	1	2	6	23	103	563	11	23	3	2	3	162	0	3	19	20	70	4	44	195	1135	0	0	58	163	253	3	5	10	6	0	125	25	1	0	0	10	3	0	4	7	0	1	7	0	0	29	28	0	1	332	54	0	1048	27	9	33817	37	71	22	1280	80	53	0	1408	86	157	1	937	61	122	0	7	27	232	30	1578	4253	1905	3	1797	76	40	61	1724	60	1	1	970	42	2	91	13	1	44	46	4
ITS_Zotu31	0	2	0	0	0	1	0	0	0	264	10	0	3	2	0	0	6	0	6	0	0	0	2	175	12941	2	0	0	183	9	0	0	134	0	0	53	42	0	29	28	22	0	3	42554	48	2	0	74	125	0	9	0	11	7	0	12	21	0	0	0	0	3	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	1	0
ITS_Zotu36	11	1995	981	1744	540	271	184	240	15	156	152	4	34	125	53	1	22	181	172	2	12	101	28	2	2	36	229	78	4	134	123	0	0	204	143	0	0	704	152	0	0	239	537	0	0	756	8	0	51	65	60	1	0	106	27	0	83	306	35694	0	106	5724	2374	0	19	590	0	13	2270	147	0	0	69	6	0	0	243	3	8	0	468	143	0	0	129	15	0	0	150	23	0	0	43	18	0	0	29	0	0	1	220	22	0	0	56	38	0
