Cat_arco_metazoa_filt_luluotu	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
arco_Zotu225	132	53	0	292	0	2096	0	0	2	0	0	0	0	0	0	0	14	11	0	0	0	4	0	0	0	0	75	0	0	0	0	0	0	0	0	4	5	288	0	0	0	3	0	0	3	2	0	0	0	0	1	0	0	1	0	0	0	12	0	0	2	2	0	0	0	0	0	9	8	0	0	0	0	2	0	0	0	43	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	241	0	0	0	7	0	0	5	0	0	1	0	11	0
arco_Zotu272	0	2817	0	0	0	103	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	4	1	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0
arco_Zotu262	3	0	0	0	0	0	1	0	3	0	0	0	9	0	3	1	10	4	1	9	2	0	2	5	22	0	0	0	1	0	0	0	1	0	0	2	30	3	3	0	0	0	0	1	0	0	2	0	0	0	4	0	3	0	0	0	25	0	0	0	5	0	0	0	44	0	28	288	9	7	61	29	0	0	0	0	0	0	0	2	0	5	10	0	0	1	111	9	0	32	9	24	0	12	0	0	2	14	368	0	68	191	806	0	2	6	1097
arco_Zotu236	0	0	0	17	0	0	0	2	0	0	0	11	0	0	0	4	23	0	0	12	0	2	0	2735	0	0	0	8	0	0	10	0	0	3	0	0	0	5	0	0	0	224	0	24	0	5	0	0	0	6	0	0	0	3	0	0	0	4	0	0	0	3	0	0	0	0	0	1	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	5	0	106	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	0	83
arco_Zotu268	2	0	0	2	0	9	1	21	0	0	0	0	4	0	0	1	18	0	4	0	0	1	1	16	2	0	2	0	17	3	0	0	2	0	0	19	16	1	1	0	0	0	1	15	0	0	0	0	0	9	6	5	0	0	0	0	32	0	0	0	80	0	0	87	32	0	198	165	9	4	99	219	5	0	132	47	3	0	83	183	18	0	11	24	8	25	842	68	8	13	120	25	60	42	376	23	0	1	42	17	2	1	13	2	0	11	173
arco_Zotu226	3	0	0	0	365	0	0	0	6	0	0	0	1	0	0	0	4	0	0	0	2	0	0	0	44	0	0	0	21	0	0	0	36	0	0	0	25	0	5	0	23	0	5	0	42	0	2	0	1905	0	0	0	135	0	0	0	1	0	5	0	2	0	360	0	3	12	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	486	0	0	0	2	0	0	0	5	0	0	0	8	0	0	0	16	0	0	0	1	0	0	0	3	0
arco_Zotu243	2	0	0	0	2	0	5	0	2	0	0	0	10	0	0	3	28	0	0	3	5	0	3	18	16	0	0	0	8	0	0	0	2	0	0	1	16	0	4	1	0	0	0	2	0	0	3	0	0	0	4	0	1	0	0	0	17	0	0	0	18	0	0	0	52	0	13	228	5	12	61	37	1	0	0	0	0	0	0	0	2	0	15	2	1	11	81	8	0	33	16	40	0	7	0	0	1	23	395	0	19	175	938	4	0	90	1268
arco_Zotu232	0	1	1	0	0	102	2	0	1	0	0	0	0	0	0	0	15	3	111	0	0	1	0	8	0	2	0	0	9	2	0	0	0	0	1	0	32	0	0	0	0	4	1	3	0	1	1	0	0	104	3	0	0	0	0	0	0	2	0	0	15	2	0	25	2	0	5	17	56	20	8	21	31	4	9	0	90	6	11	0	90	3	0	0	102	109	494	0	50	24	9	0	1799	207	13	0	0	0	0	0	2	0	1	0	2	11	51
arco_Zotu542	0	2	1	4	12	0	11	2	9	0	0	1	3	0	9	1	5	2	2	1	0	0	0	12	3	0	0	0	23	16	0	0	8	2	0	4	5	10	0	0	0	2	8	11	0	9	2	2	8	11	1	1	15	3	0	1	40	4	0	0	197	26	17	38	115	9	135	92	93	2	69	249	31	2	138	62	23	2	109	45	176	15	5	12	12	34	955	85	115	24	173	20	52	11	126	57	1	21	36	23	1	1	11	0	1	21	143
arco_Zotu221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	13	0	0	0	0	80	0	0	0	68	0	0	0	54	0	0	114	3062	0	0	1	309	0	0	0	17	0	0	2	47	0	0	10	24	0	0	0	0	0	0	6
