Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu245	0	187	0	0	0	4	0	0	0	17	0	0	0	12	0	0	0	7	0	0	0	10	1	0	0	1	11	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu247	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	11	0	0	0	1	0	0	0	236	0	0	0	1	0	0	1	0	0	0	0	136	0	0	0	2	0	1	0	0	0	1	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ITS_Zotu243	5	0	0	0	4	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	1	0	28	0	0	0	0	0	2	0	4	0	0	71	7	0	104	0	125	0	4	0	1	0	0	0	0	0	0	2	20	0	0	1	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	0
ITS_Zotu319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	83	0	0	0	0	0	0	136	141	0	0	0	202	0	0	0	9	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu223	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	112	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu284	1	0	4	0	24	0	0	1	0	1	0	32	6	0	1	1	1	0	0	0	6	0	0	23	1	0	0	0	0	0	5	0	1	0	0	7	1	0	0	0	0	0	0	185	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	10	0	0	5	1	0	0	0	1	0	2	2	5	1	0	0	1	0	0	0	5	0	0	0	17	2	0	3	0	5	10	3	30	5	1	0
ITS_Zotu219	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	5	0	0	0	2	0	3	13	0	10	0	0	0	9	1	1	1	2	0	2	9	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	47	0	0	3	0	6	1	3	29	0	0	5	6	0	0	4	5	0	0	3	35	1	0	101	4	1	0	9	2	0	0	8	5	18	0	0	1	0	0	0	1	0	0	15
ITS_Zotu267	0	1	1	0	0	1	0	2	0	0	0	5	0	1	0	4	0	1	0	4	0	2	0	6	272	10	2	66	26	1	12	0	15	0	0	0	35	0	0	0	4	0	0	0	7	0	0	0	1	0	2	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	2	0	6	0	0	0
ITS_Zotu254	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	18	5	0	19	6	0	0	25	7	0	0	7	45	0	0	5	19	0	0	2	6	0	0	15	6	0	2	101	2	0	5	39	3	0	0	3	0	0	0	0	0	0	0	9
ITS_Zotu244	1	0	4	0	7	1	3	0	0	0	0	1	2	0	2	1	0	1	27	0	36	0	3	2	0	0	6	0	0	0	5	0	0	0	30	0	1	4	1	0	0	14	10	0	0	4	1	0	0	0	3	0	2	0	0	0	0	1	1	0	0	31	7	2	0	2	0	0	1	2	1	0	1	7	7	2	0	6	3	1	2	7	4	3	1	4	0	10	6	24	11	2	0	22	0	2	2	1	0	1	0	5	0	1	1	0	2
ITS_Zotu233	0	38	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	2	0	0	3	0	0	0	0	243	0	0	0	6	0	0	5	21	0	2	0	3	0	0	0	7	0	0	13	13	0	0	0	14	0	0	0	2	0	0	0	0	0	1	1	25	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu1339	1	1	0	0	0	5	4	1	1	2	4	0	0	5	4	0	7	14	0	1	0	4	0	0	0	1	0	0	2	10	0	0	1	0	2	0	12	0	0	0	0	1	0	0	0	1	0	0	0	1	4	2	0	0	0	0	0	0	0	0	5	2	0	62	1	0	13	4	1	3	16	9	0	5	9	2	0	0	3	5	2	1	3	3	1	29	50	0	2	11	29	2	2	78	69	1	4	1	1	0	0	1	0	1	0	2	12
ITS_Zotu218	0	0	0	0	0	1	0	0	0	1	0	0	0	3	2	0	0	9	1	0	0	0	0	0	0	5	10	0	0	0	9	0	0	4	25	16	0	31	5	0	0	15	5	0	0	8	0	0	0	0	2	0	0	2	0	1	0	5	0	0	7	79	0	0	0	3	0	0	234	0	0	0	0	0	0	0	10	0	0	0	13	0	0	0	12	4	0	0	21	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu323	0	3	0	0	24	8	5	0	0	0	3	0	0	0	2	0	1	1	1	0	0	1	0	0	0	1	3	0	0	4	5	0	0	0	0	0	0	9	5	0	0	9	13	0	0	36	2	0	1	2	19	0	0	1	5	0	0	0	2	0	11	99	178	15	3	10	0	1	11	0	0	0	0	0	0	0	1	0	0	0	8	32	0	0	3	2	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0
ITS_Zotu234	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	1	0	0	4	5	0	0	0	1	1	0	0	0	1	0	0	6	3	0	0	6	0	0	0	101	0	0	87	23	0	373	15	0	6	14	0	0	7	0	1	0	10	2	11	0	8	1	1	0	5	4	0	3	5	0	0	0	6	0	0	3	7	1	0	0	0	0	0	0	0	10	0	0	0
ITS_Zotu232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu270	0	4	1	0	0	0	0	2	0	0	0	0	12	0	14	0	6	3	0	1	0	0	0	1	0	1	0	0	2	1	0	0	10	0	0	0	12	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	6	0	0	0	18	0	0	2	1	0	9	7	0	2	1	5	10	1	12	0	2	1	2	4	4	2	6	0	4	1	11	4	25	9	1	120	115	1	0	3	86	16	1	0	1	2	3	0	0	0	1	0	0	0
ITS_Zotu231	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	40	0	4	0	2	18	1	1	3	6	4	0	0	5	1	0	0	0	7	3	25	79	9	1	2	10	128	0	0	4	0	0	4	5	0	0	0	0	0	0	2
ITS_Zotu235	1	1	0	0	3	3	0	0	0	1	7	0	4	0	0	1	8	0	28	0	17	2	0	2	8	0	2	0	0	2	5	0	0	1	16	0	4	0	0	0	3	0	0	0	2	6	45	0	0	0	28	40	3	0	0	0	4	1	23	1	1	13	26	1	12	23	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	1	0	0	0	10	0	3	0	30	0	0	0	5	0
ITS_Zotu212	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	18	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	2	0	1311	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu264	0	2	0	0	0	1	0	0	0	1	0	2	4	0	2	1	3	0	1	0	0	4	3	0	0	0	8	0	2	0	2	0	1	0	0	0	7	0	0	0	0	0	2	1	0	4	0	0	0	1	4	2	0	0	2	2	0	2	2	0	60	0	0	13	33	4	10	36	3	3	6	2	6	0	69	12	2	0	6	5	1	0	2	5	40	10	3	11	6	9	16	1	9	11	8	24	1	0	0	1	0	0	3	2	0	3	1
ITS_Zotu230	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	13	7	0	0	0	28	0	0	8	17	0	0	0	3	0	4	0	0	1	24	0	0	0	13	23	0	0	3	0	32	1	5	0	0	0	7	0	1	0	0	3	23	0	0	0	160	0	18	0	7	2	0	4	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	3	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ITS_Zotu241	0	0	1	1	1	0	0	0	4	1	0	0	31	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	0	0	0	7	0	0	0	6	1	1	0	1	6	0	0	4	0	0	0	0	1	0	0	15	76	0	0	1	64	0	0	0	2	0	0	1	0	0	0	12	1	0	0	86	0	0	2	17	0	0	0	9	0	0	0	12	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
