#OTU ID	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
Motu11	0	2357	16	0	0	68	8	0	0	243	0	0	0	195	0	0	0	56	249	0	0	1369	242	0	0	0	1397	0	0	18500	7	0	0	0	72	0	0	224991	0	0	0	268364	0	0	0	265566	1	0	0	1960	0	0	0	16135	0	0	0	6536	0	0	0	1291	0	0	0	0	0	0	1584	0	0	0	44	0	0	0	5	0	0	0	3	0	0	0	857	1	0	0	0	2	0	0	1	3	0	0	7	0	0	0	1441	0	0	0	1588	0	0
Motu10	720	916	79958	0	28927	25	1314	0	39886	523	5780	1322	14934	515	0	20653	26833	116	137	67	18850	176	13370	337	290	368	49326	1067	4212	12996	1519	0	76	0	65314	10	2870	9454	5484	0	243	355	623	7	1621	25487	15108	1	344	92	326	0	437	1665	5567	12359	15	5020	46	55	75	13716	152	0	16	2514	1	26	731	14301	0	186	12318	8676	1786	53084	459	6747	27226	18	98	1243	247	418	103	133544	0	19701	1197	8274	122	17314	17	44846	0	7021	582	48	6	95	3412	251	7	44	1103	1132	22976
Motu9	107	3628	736	0	0	2538	757	0	355	5566	19	0	175	3568	0	0	3	4270	24704	93	12	387	677	110	256	0	662	0	2184	125792	510	0	109	23	956	137	38	142614	3876	0	3	83506	0	6	3	64249	48	109	634	38008	0	0	2	42175	0	10474	366	35789	36	71	3	58450	30	0	4	1	3678	71	48113	470	0	0	73607	0	0	0	42032	16	0	0	33766	33	0	0	21264	76	0	0	0	44	0	0	23182	4009	0	2	12	184930	0	0	2820	23932	0	0	23982	227	0
Motu16	305	33	265	1	4702	93	10	0	6	58	17	142884	51134	203	0	33	40323	0	16	3423	8261	19972	11	2735	903	12784	56	57889	25785	3	100	0	296	397	98	83004	25538	3417	5470	0	2245	23014	447	114	2806	12867	5181	32923	190506	23084	43932	45038	146507	20688	6883	143144	70	59316	24286	12699	54	295	3550	1	22	51681	51675	88	55	1235	0	0	63	5103	10	0	269	108	30	74	4	13641	3	3	99	946	0	0	1421	361	0	0	93	1120	448	35237	109	409	0	117	7	3033	0	6750	106	2623	14
Motu7	18980	1977	50	756232	141939	4	35	6716	365	4	6	89111	3616	0	1286	24	501	3	53	859	42	0	8924	10711	414	55137	24370	69307	25747	30	59	6751	190	19602	88	7569	1799	0	14	1942	15	1	356	29	691	140	2	7734	15	0	6388	0	9	0	10431	47	5	0	321	51250	11	0	1	0	1	22694	225	41	34	798	62	0	2	2860	207	0	0	1819	20239	32	0	95	59	0	0	6417	0	0	11712	244	0	0	0	21859	0	7973	15	0	0	29483	399	1200	0	0	123	6988	136
Motu8	5	1055	2408	14041	28	127	174	6508	0	8808	15	827	592	408	47	84	7	26	140	28176	5	18622	80	919	0	590	6067	32	1	2033	821	479139	9	0	2760	17080	8	377213	28	37	9	282983	1	19	376	200725	0	1318	6	24664	28	0	6	52278	8	0	14	76893	3	992	0	1759	2	0	0	800	582	0	7818	5071	45	0	34404	1420	366	0	1082	29	3	0	84	99	0	0	4184	44	0	0	7	40	0	0	366	63	0	1	20088	0	0	0	30914	54	0	85	48572	0	0
Motu5	2	764	729	5433	937	63	12825	49	0	202	33	798	5350	166	428167	0	19219	43	2799	1105	8707	1433	29207	6	143	1	10980	595	187	818	332	51	0	0	808	4	3416	392964	157	922	140	294685	0	9	189	322922	4376	5	332	33002	0	0	230	68642	2	0	8	80708	1	2	31	8515	40	0	33	854	0	39	7197	645	89	0	22881	30263	232	0	842	102	5	0	235	154	0	0	2871	1640	0	0	5	1090	0	0	386	15793	0	0	24	0	0	0	3584	47	0	0	2617	180	0
Motu21	0	599	24	31309	14597	132	170	776695	42	1211	0	196743	8	333	45	0	23	1132	5	1266	6	38	1	2649	5	49531	43	160894	868	61176	17	494060	1	250265	179	16596	1184	13491	0	113	4	535	864	5246	3	315	1	27978	4	69	17731	0	4	966	32914	0	10	181	22805	10951	4	25116	0	0	3	54508	20127	339	24342	576	84	0	23722	7113	364	0	244	210	17311	0	891	289	101	0	646	626	0	0	4107	448	0	0	122	31868	0	0	2	9	0	0	804	8	0	0	5926	21	207
Motu3	131	167639	6571	107	15694	49209	13418	33	0	5097	630	47411	16416	72195	422	1	17838	4950	25302	98507	24269	22515	21085	14390	321	11025	31940	5048	276	24703	4355	38	94	0	2684	45543	68269	4298	25581	31	29874	5061	9411	27932	21900	10285	69915	14909	20991	2509	19065	58316	28461	20229	1443	97165	13867	3853	22326	4173	12596	1416	10337	1024	5247	114246	36241	10271	2227	16013	216619	293	238	28265	29724	59485	580	19363	41604	56023	11251	8298	446	616	773	8080	541	31032	5872	7565	9000	294	417	6667	205265	3365	2097	0	28986	255	61252	202	91	2	66460	117	1660
Motu1	45	0	22	25	47031	0	16	2	3	0	0	129196	0	0	0	68097	1	0	2	44517	0	1	0	8132	0	87636	63	152265	0	0	19	0	0	0	27	19053	2	0	0	0	0	24	8406	3	68	0	0	75701	74	0	18206	0	1	1	45912	250	0	1	1161	87995	0	0	9	737	0	54406	1460	1	0	655	0	246709	0	386100	19388	179694	1	21121	3874	176616	0	20727	416	618510	2	414	250	410779	6489	611	218	131085	0	494	6	826867	7	4288	42	817648	50	0	5	753439	6511	0	52712
Motu2	137651	89963	4800	78584	304515	24917	4776	5225	721439	21453	666	126461	219790	36144	1261	44164	68871	36597	2904	181975	186812	36312	43482	199540	250368	122091	83475	43650	244489	196096	42973	297499	75798	36735	35405	122005	159395	261763	9134	631954	300914	211081	37642	48666	145763	146044	37173	135668	91387	15986	16363	142	39078	24033	9587	22475	106706	44568	13106	64944	44902	67875	21063	124183	107222	161080	150663	43409	124737	37099	76	887	72210	160335	134676	140955	16103	47305	67127	39038	6279	41054	77920	45810	13894	12584	1170	120504	32932	29206	23353	78478	21942	42020	377606	27094	2260	67480	15	1311	23829	94761	15	51565	10131	30352	175583
