Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu19	9	33	1	1153	64	70	1	36	0	502	0	2	13	417	119	5	450	0	0	0	21	71	1	52	5	0	24	0	6	656	21	2033	1	24	61	13	563	0	29	43	1	0	13	10	7	2	32	17	0	30	1338	1090	3	0	1168	42	26	0	13	1474	1003	0	1	36	1181	1	3	7209	2	15	3	1	0	38	2	6	0	42	0	45	0	4	5	40	1	32	0	9	29	30	4	3	1	1072	48	4	2	5	0	2	0	4	0	2	0	30	1
ITS_Zotu190	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	34	0	1401	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ITS_Zotu191	0	0	0	0	1	0	0	0	0	0	43	0	2	0	0	0	7	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	3	0	0	3	9	0	0	0	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ITS_Zotu192	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	82	1	0	5	404	0	0	1	4	0	0	1	0	0	1	23	1	0	0	92	5	0	0	16	0	0	0	5	0	0	0	18	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu193	0	0	155	0	8	3	7	0	0	0	2	0	0	0	9	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	15	0	0	0	2	0	0	2	2	0	0	0	4	0	0	0	0	0	0	1	3	0	0	0	115	0	0	98	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	3	0	0	2	0	0
ITS_Zotu194	0	3	0	0	4	6	12	0	0	2	7	0	5	148	5	0	4	0	0	0	17	13	16	1	5	0	4	0	1	0	4	0	0	0	7	0	2	0	54	1	0	0	2	0	1	16	67	0	23	0	5	0	6	0	1	0	0	16	4	0	27	16	45	0	7	11	0	0	24	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0
ITS_Zotu195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	774	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	37	20	0	0	0	5	0	0	0	2	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu198	0	0	43	0	6	27	1	0	0	0	23	0	0	3	13	0	0	0	2	0	0	14	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	15	0	0	0	18	0	0	2	6	0	0	0	5	0	0	0	0	0	0	0	3	0	0	18	97	0	0	118	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	56	0	0	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0
ITS_Zotu199	0	79	0	0	0	6	0	0	0	7	0	1	0	7	0	65	1	0	0	0	2	7	0	52	1	0	2	0	0	15	0	8	2	4	1	14	0	0	0	13	1	0	0	6	1	14	1	14	0	0	0	11	0	0	0	545	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu20	0	14	0	0	0	1	0	3	0	153	0	2	0	1	20	2	0	5	0	0	0	4	0	4	0	37	633	18	0	1	281	0	3	2	7922	20	1	0	164	1	1	0	278	0	0	1	231	1	0	0	343	0	3	0	0	2	0	1	0	0	0	3	0	2	0	0	0	1	1	5	0	0	0	13	11	0	2	2	2	0	0	4	0	0	0	5	1	0	37	15	0	0	0	190	0	0	0	1	2	0	0	0	0	0	0	0	3
