NoCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu438	0	0	0	12	0	0	5	1	0	0	12	15	2	0	2	0	3	0	2	0	0	0	0	1	2	1	3	18	1	0	0	0	0	0	0	71	0	0	0	18	0	0	0	5	0	0	0	1	0	1	4	15	0	0	0	5	1	1	1	0	1	0	1	46	0	21	18	0	1	10	0	0	1	39	1	0	1	12	5	0	2	29	12	1	0	13	7	0	6	2	10	4	2	5	6	2	0	2	3	11	1	5	4	11	1	0	77
protist_Zotu576	0	5	0	3	0	0	12	76	2	0	1	10	24	0	2	0	2	0	0	49	2	0	1	3	10	0	7	5	3	0	9	0	1	1	2	40	1	0	0	97	2	0	0	10	6	2	1	12	1	0	1	17	9	0	0	21	1	2	0	56	1	0	1	44	2	0	14	0	0	5	0	3	0	3	11	0	1	0	5	0	0	0	4	0	0	0	9	1	2	0	5	0	3	0	1	1	0	0	0	0	0	0	9	6	2	0	12
protist_Zotu175	8	2	46	35	1	6	6	23	1	8	13	106	0	1	5	260	4	0	5	101	2	0	5	101	33	0	9	57	12	1	5	0	8	0	8	139	1	1	3	86	2	0	2	192	17	1	13	13	0	0	0	16	5	1	0	14	3	0	2	0	12	0	9	66	0	18	13	8	4	8	0	1	9	33	44	2	5	4	37	3	15	19	42	0	13	0	45	2	26	3	38	1	36	1	39	4	0	2	11	1	1	2	25	1	4	1	174
protist_Zotu136	25	2	107	19	21	2	49	9	30	2	143	33	20	0	20	28	38	2	6	91	23	5	7	5	45	3	38	30	33	2	15	0	7	6	67	14	56	17	53	15	100	18	140	0	27	29	16	37	52	2	12	20	62	9	71	53	27	1	65	4	48	71	90	2	40	23	65	110	1	32	1	97	0	269	166	66	4	124	169	127	2	98	233	17	3	159	143	9	1	48	47	7	0	77	23	56	2	11	289	118	0	9	295	221	0	18	251
protist_Zotu578	30	0	0	13	12	0	0	0	15	0	1	0	0	0	0	0	12	0	0	0	9	0	0	0	21	0	0	0	4	0	0	0	4	0	1	0	66	0	1	0	44	0	0	0	223	0	0	0	39	0	1	0	44	0	0	0	27	0	0	0	9	0	0	0	58	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	30	0	0	0	3	0	1	0	24	0	0	31
protist_Zotu49	104	187	610	21	43	340	394	1	99	225	469	1	145	116	99	7	119	108	74	21	208	118	29	10	71	108	67	5	276	71	71	0	9	307	113	0	248	539	103	0	178	640	155	0	473	416	56	2	458	40	275	10	128	121	429	5	155	87	296	2	1	23	202	1	0	78	58	0	96	80	0	2	79	363	13	12	254	218	18	9	240	367	5	3	8	280	6	0	10	141	8	11	15	123	1	168	29	522	21	161	20	262	25	111	14	300	0
protist_Zotu237	33	113	200	44	44	128	139	0	41	97	126	5	15	55	3	5	26	52	4	22	44	14	1	2	16	27	16	1	42	34	20	0	1	88	51	0	6	77	22	0	9	91	35	0	12	62	12	0	32	0	6	5	17	29	47	3	2	38	34	0	2	0	22	1	1	3	15	0	11	19	0	7	16	32	6	27	32	68	1	9	18	79	2	0	4	62	8	0	18	50	2	9	5	24	0	31	14	185	0	68	4	97	0	19	4	79	0
protist_Zotu56	64	1	0	0	163	0	61	0	73	1	51	21	13	0	1	445	2	0	0	1170	26	0	1	96	8	1	12	11	7	0	32	0	0	4	78	0	126	53	59	1	76	31	46	0	269	25	11	0	83	0	5	56	29	7	86	0	82	0	39	0	7	0	23	1	8	1	855	11	0	3	0	193	1	0	1	235	4	7	3	494	1	2	2	13	0	26	4	2	0	26	2	4	0	22	0	5621	0	43	1	4208	1	17	0	2564	1	25	1
protist_Zotu28	688	149	419	976	694	123	741	1071	833	126	653	978	890	95	330	228	642	77	218	702	433	100	102	427	568	144	725	938	249	112	1082	0	175	437	1041	709	445	186	631	1286	528	232	621	1761	420	175	758	520	384	186	912	665	477	578	861	668	790	281	811	22	581	70	566	1377	466	590	1108	494	146	776	461	777	101	494	640	627	174	497	494	518	116	377	456	603	129	399	536	509	53	370	482	159	50	373	360	662	58	487	409	665	40	540	303	466	69	871	544
protist_Zotu32	38	12	62	1	73	4	48	68	58	2	18	46	143	2	9	9	151	1	3	47	41	17	5	3	129	5	27	61	50	5	218	4	60	89	33	23	1166	10	31	54	1294	11	37	0	310	19	47	1	66	0	155	163	70	108	50	928	358	8	51	0	6064	0	40	167	3596	87	165	4653	14	520	32	2424	0	2	1046	1101	7	85	568	1067	0	67	616	1309	1	51	516	864	5	96	151	0	2	70	81	17	4	90	0	23	0	86	0	25	2	101	1
