sampleonly	Region	Site	Season	Site2	Month	Sample	SxR	SitexSeason
SKSha3Aug	SK	Sha3	Aug	Sha	8	SK_Sha3_Aug	SK_Aug	SK_Sha_Aug
HKBea1Nov	HK	Bea1	Nov	Bea	11	HK_Bea1_Nov	HK_Nov	HK_Bea_Nov
HKBea2Nov	HK	Bea2	Nov	Bea	11	HK_Bea2_Nov	HK_Nov	HK_Bea_Nov
HKBea3Nov	HK	Bea3	Nov	Bea	11	HK_Bea3_Nov	HK_Nov	HK_Bea_Nov
HKSta1Nov	HK	Sta1	Nov	Sta	11	HK_Sta1_Nov	HK_Nov	HK_Sta_Nov
HKSta2Nov	HK	Sta2	Nov	Sta	11	HK_Sta2_Nov	HK_Nov	HK_Sta_Nov
HKSta3Nov	HK	Sta3	Nov	Sta	11	HK_Sta3_Nov	HK_Nov	HK_Sta_Nov
HKSW1Nov	HK	SW1	Nov	SW	11	HK_SW1_Nov	HK_Nov	HK_SW_Nov
HKSW2Nov	HK	SW2	Nov	SW	11	HK_SW2_Nov	HK_Nov	HK_SW_Nov
HKSW3Nov	HK	SW3	Nov	SW	11	HK_SW3_Nov	HK_Nov	HK_SW_Nov
LTCC1Nov	LT	CC1	Nov	CC	11	LT_CC1_Nov	LT_Nov	LT_CC_Nov
LTCC2Nov	LT	CC2	Nov	CC	11	LT_CC2_Nov	LT_Nov	LT_CC_Nov
LTCC3Nov	LT	CC3	Nov	CC	11	LT_CC3_Nov	LT_Nov	LT_CC_Nov
LTCMW1Nov	LT	CMW1	Nov	CMW	11	LT_CMW1_Nov	LT_Nov	LT_CMW_Nov
LTCMW2Nov	LT	CMW2	Nov	CMW	11	LT_CMW2_Nov	LT_Nov	LT_CMW_Nov
LTCMW3Nov	LT	CMW3	Nov	CMW	11	LT_CMW3_Nov	LT_Nov	LT_CMW_Nov
LTPC1Nov	LT	PC1	Nov	PC	11	LT_PC1_Nov	LT_Nov	LT_PC_Nov
LTPC2Nov	LT	PC2	Nov	PC	11	LT_PC2_Nov	LT_Nov	LT_PC_Nov
LTPC3Nov	LT	PC3	Nov	PC	11	LT_PC3_Nov	LT_Nov	LT_PC_Nov
SKBlu1Nov	SK	Blu1	Nov	Blu	11	SK_Blu1_Nov	SK_Nov	SK_Blu_Nov
SKBlu2Nov	SK	Blu2	Nov	Blu	11	SK_Blu2_Nov	SK_Nov	SK_Blu_Nov
SKBlu3Nov	SK	Blu3	Nov	Blu	11	SK_Blu3_Nov	SK_Nov	SK_Blu_Nov
SKLKW1Nov	SK	LKW1	Nov	LKW	11	SK_LKW1_Nov	SK_Nov	SK_LKW_Nov
SKLKW2Nov	SK	LKW2	Nov	LKW	11	SK_LKW2_Nov	SK_Nov	SK_LKW_Nov
SKLKW3Nov	SK	LKW3	Nov	LKW	11	SK_LKW3_Nov	SK_Nov	SK_LKW_Nov
SKSha1Nov	SK	Sha1	Nov	Sha	11	SK_Sha1_Nov	SK_Nov	SK_Sha_Nov
SKSha2Nov	SK	Sha2	Nov	Sha	11	SK_Sha2_Nov	SK_Nov	SK_Sha_Nov
SKSha3Nov	SK	Sha3	Nov	Sha	11	SK_Sha3_Nov	SK_Nov	SK_Sha_Nov
