Sample	allGfishSid
HKBea2Aug	id171
HKBea2Aug	id175
HKBea2Aug	id176
HKBea2Aug	id178
HKBea2Aug	id179
HKBea2Aug	id18
HKBea2Aug	id180
HKBea2Aug	id182
HKBea2Aug	id183
HKBea2Aug	id184
HKBea2Aug	id185
HKBea2Aug	id186
HKBea2Aug	id187
HKBea2Aug	id188
HKBea2Aug	id189
HKBea2Aug	id19
HKBea2Aug	id190
HKBea2Aug	id191
HKBea2Aug	id192
HKBea2Aug	id194
HKBea2Aug	id196
HKBea2Aug	id198
HKBea2Aug	id199
HKBea2Aug	id2
HKBea2Aug	id20
HKBea2Aug	id200
HKBea2Aug	id201
HKBea2Aug	id202
HKBea2Aug	id203
HKBea2Aug	id205
HKBea2Aug	id206
HKBea2Aug	id207
HKBea2Aug	id208
HKBea2Aug	id209
HKBea2Aug	id21
HKBea2Aug	id210
HKBea2Aug	id211
HKBea2Aug	id213
HKBea2Aug	id214
HKBea2Aug	id215
HKBea2Aug	id216
HKBea2Aug	id217
HKBea2Aug	id218
HKBea2Aug	id221
HKBea2Aug	id222
HKBea2Aug	id223
HKBea2Aug	id224
HKBea2Aug	id225
HKBea2Aug	id226
HKBea2Aug	id227
HKBea2Aug	id228
HKBea2Aug	id229
HKBea2Aug	id231
HKBea2Aug	id232
HKBea2Aug	id233
HKBea2Aug	id234
HKBea2Aug	id235
HKBea2Aug	id236
HKBea2Aug	id237
HKBea2Aug	id238
HKBea2Aug	id239
HKBea2Aug	id24
HKBea2Aug	id240
HKBea2Aug	id241
HKBea2Aug	id242
HKBea2Aug	id243
HKBea2Aug	id244
HKBea2Aug	id245
HKBea2Aug	id246
HKBea2Aug	id247
HKBea2Aug	id248
HKBea2Aug	id249
HKBea2Aug	id25
HKBea2Aug	id250
HKBea2Aug	id251
HKBea2Aug	id252
HKBea2Aug	id254
HKBea2Aug	id255
HKBea2Aug	id257
HKBea2Aug	id258
HKBea2Aug	id259
HKBea2Aug	id26
HKBea2Aug	id260
HKBea2Aug	id262
HKBea2Aug	id263
HKBea2Aug	id264
HKBea2Aug	id265
HKBea2Aug	id266
HKBea2Aug	id267
HKBea2Aug	id268
HKBea2Aug	id269
HKBea2Aug	id27
HKBea2Aug	id271
HKBea2Aug	id273
HKBea2Aug	id274
HKBea2Aug	id276
HKBea2Aug	id277
HKBea2Aug	id278
HKBea2Aug	id279
HKBea2Aug	id28
HKBea2Aug	id280
HKBea2Aug	id282
HKBea2Aug	id283
HKBea2Aug	id284
HKBea2Aug	id285
HKBea2Aug	id286
HKBea2Aug	id287
HKBea2Aug	id288
HKBea2Aug	id289
HKBea2Aug	id29
HKBea2Aug	id290
HKBea2Aug	id291
HKBea2Aug	id293
HKBea2Aug	id294
HKBea2Aug	id295
HKBea2Aug	id297
HKBea2Aug	id298
HKBea2Aug	id299
HKBea2Aug	id30
HKBea2Aug	id301
HKBea2Aug	id302
HKBea2Aug	id303
HKBea2Aug	id304
HKBea2Aug	id305
HKBea2Aug	id306
HKBea2Aug	id307
HKBea2Aug	id308
HKBea2Aug	id309
HKBea2Aug	id31
HKBea2Aug	id310
HKBea2Aug	id312
HKBea2Aug	id313
HKBea2Aug	id318
HKBea2Aug	id319
HKBea2Aug	id32
HKBea2Aug	id320
HKBea2Aug	id321
HKBea2Aug	id322
HKBea2Aug	id325
HKBea2Aug	id327
HKBea2Aug	id329
HKBea2Aug	id33
HKBea2Aug	id333
HKBea2Aug	id335
HKBea2Aug	id337
HKBea2Aug	id338
HKBea2Aug	id339
HKBea2Aug	id34
HKBea2Aug	id340
HKBea2Aug	id341
HKBea2Aug	id342
HKBea2Aug	id343
HKBea2Aug	id344
HKBea2Aug	id345
HKBea2Aug	id347
HKBea2Aug	id348
HKBea2Aug	id349
HKBea2Aug	id35
HKBea2Aug	id350
HKBea2Aug	id352
HKBea2Aug	id354
HKBea2Aug	id355
HKBea2Aug	id357
HKBea2Aug	id359
HKBea2Aug	id36
HKBea2Aug	id360
HKBea2Aug	id362
HKBea2Aug	id363
HKBea2Aug	id364
HKBea2Aug	id365
HKBea2Aug	id366
HKBea2Aug	id367
HKBea2Aug	id368
HKBea2Aug	id369
HKBea2Aug	id37
HKBea2Aug	id370
HKBea2Aug	id372
HKBea2Aug	id373
HKBea2Aug	id374
HKBea2Aug	id375
HKBea2Aug	id376
HKBea2Aug	id377
HKBea2Aug	id378
HKBea2Aug	id379
HKBea2Aug	id38
HKBea2Aug	id380
HKBea2Aug	id381
HKBea2Aug	id382
HKBea2Aug	id383
HKBea2Aug	id384
HKBea2Aug	id385
HKBea2Aug	id386
HKBea2Aug	id388
HKBea2Aug	id389
HKBea2Aug	id390
HKBea2Aug	id391
HKBea2Aug	id392
HKBea2Aug	id394
HKBea2Aug	id395
HKBea2Aug	id396
HKBea2Aug	id397
HKBea2Aug	id398
HKBea2Aug	id401
HKBea2Aug	id402
HKBea2Aug	id406
HKBea2Aug	id407
HKBea2Aug	id42
HKBea2Aug	id46
HKBea2Aug	id5
HKBea2Aug	id50
HKBea2Aug	id51
HKBea2Aug	id53
HKBea2Aug	id58
