#OTU ID	HKBea1May	HKBea2May	HKBea3May	HKSW1May	HKSW2May	HKSW3May	HKSta1May	HKSta2May	HKSta3May
id359	8.097826086	13.31521739	15.16304348	6.956521739	3.423913044	4.510869565	4.782608696	3.369565217	4.239130435
id36	7	154	182	8	10	248	77	8	4
id360	6.086956522	15.27173913	20.32608696	16.0326087	11.14130435	15.70652174	4.673913043	4.402173914	2.880434783
id361	0.27173913	0	1.141304348	0.217391304	0.217391304	0.054347826	0.217391304	0.217391304	0.108695652
id362	5.163043478	2.77173913	1.684782609	18.31521739	2.010869565	3.097826087	0.27173913	0.217391304	0.163043478
id363	15.27173913	2.5	3.423913044	0.923913043	0.978260869	1.141304347	1.467391304	1.086956522	1.847826087
id364	0	0.108695652	0	0.434782609	0.054347826	0.108695652	0	0	0
id365	23.36956522	29.29347827	37.77173913	17.06521739	8.043478261	9.999999999	2.228260869	1.467391304	1.195652173
id366	0	0	0	0	0.054347826	0	0	0	0
id367	30.48913044	9.836956522	16.19565217	10.27173913	1.467391304	0.489130435	6.195652174	3.152173913	3.532608696
id368	0	0.217391304	0.163043478	0.054347826	0	0	0	0	0.108695652
id369	15.59782609	5.923913043	15.16304348	3.043478261	0.923913043	1.902173913	2.391304348	2.22826087	1.195652174
id37	8849	9343	12986	3062	1736	4624	4010	6781	5687
id370	5.815217392	3.641304348	6.25	1.141304347	3.04347826	3.804347825	3.206521738	4.076086956	1.739130434
id371	0.108695652	0.108695652	0.217391304	0.27173913	0.163043478	0.108695652	0.326086957	0.108695652	0.27173913
id372	1.467391304	0.760869565	2.5	1.793478261	1.032608695	0.652173914	0.597826087	0.652173913	0.597826087
id373	3.423913043	0.054347826	0.597826087	1.304347826	3.043478261	2.391304348	0.108695652	0.434782609	0.217391304
id374	0	0.054347826	0.380434783	0.652173913	0.054347826	0.054347826	0	0	0
id375	0.434782609	1.413043479	1.630434782	4.673913044	3.152173913	6.79347826	0.326086956	0.434782609	0.326086956
id376	12.33695653	4.402173913	2.554347826	0.706521739	0.108695652	0.434782609	1.032608696	0.489130435	0.597826087
id377	0	0.706521739	0.326086957	0.760869565	0.27173913	0.326086957	1.195652174	0.27173913	0.163043478
id378	116.0869565	30.97826087	57.77173913	19.94565218	7.608695651	12.33695652	39.29347826	46.0326087	18.5326087
id379	8.4	18	18	26	12.4	4	1.2	4	4.8
id38	1010	2611	666	128	682	7612	9914	38477	6149
id380	0	4.8	9.2	9.6	1.6	3.6	0	0	0
id381	0	36.8	38.8	14.4	38	10.4	8.8	2.4	4
id382	0	12.8	10.4	5.6	16.4	13.6	0.4	0.8	1.2
id383	24.4	0.4	4	0.4	0	2	0	0	0.4
id384	537.6	273.2	537.2	215.6	118	114.8	100.8	69.6	81.6
id385	0	1.2	0.4	4	0.8	0.4	0.8	0	0
id386	0	4.8	7.2	3.2	4.8	1.6	0	0	0
id387	0	24	34.8	11.6	6.4	1.2	0.8	0	0
id388	0	1.2	2.4	0.4	7.6	0.4	4	0.8	1.2
id389	6	73.6	72.4	64.4	136.8	50.4	4.4	4.4	3.2
id39	0	0	0	0	0	0	0	0	0
id390	0	1.2	1.6	1.6	1.6	1.6	1.2	0.4	0.4
id391	18	22.4	26.4	24.8	6.4	11.2	8.8	6.8	5.2
id392	62	58.8	89.6	69.2	53.6	14	6	4.8	4.8
id393	50	4.285714286	22.85714286	4.285714286	0	0	4.285714286	4.285714286	17.14285714
id394	18.57142857	97.14285713	17.14285714	15.71428571	5.714285715	28.57142857	204.2857143	208.5714286	335.7142857
id395	358.5714286	227.1428571	445.7142857	272.8571428	64.28571429	165.7142857	234.2857143	214.2857143	174.2857143
id396	0	4.285714286	0	0	1.428571429	5.714285714	2.857142857	8.571428571	14.28571429
id397	0	28.57142857	11.42857143	10	5.714285714	11.42857143	105.7142857	122.8571429	165.7142857
