#OTU ID	SKBlu1Aug	SKBlu2Aug	SKBlu3Aug	SKLKW1Aug	SKLKW2Aug	SKLKW3Aug	SKSha1Aug	SKSha2Aug	SKSha3Aug
id297	1.132075472	0.377358491	1.886792453	2.264150943	2.264150943	1.132075472	0	0.754716981	0.754716981
id298	368	350	314	127	85.95238095	60	333	692	364.4761905
id299	131.0555556	47.58333334	71.88888889	70.72222222	87.58333332	52.75	41.27777778	38.11111111	44.36111111
id3	3	3	0	121	5	1	1	0	1
id30	11	0	0	0	0	0	0	0	7
id300	0	0	0	0	0	0	0	0	0
id301	0	0	0	0	0	0	0	0	0
id302	1.500000001	2	1.500000001	0.5	0.5	0.333333333	1.666666667	1.5	4
id303	1.666666667	0	0	1.666666667	0.833333333	0	0	0	0
id304	524.5	639	1006	1123.5	1225.5	648	43	40.5	27
id305	11.5	15	18	1.5	1.5	0	9	12.5	12.5
id306	109.6	102.4	107.2	62.4	52	33.6	200	265.6	199.2
id307	3.703703704	3.703703704	3.333333333	2.222222222	3.333333333	3.703703704	2.222222222	3.703703704	2.962962963
id308	0	6.666666667	2.5	1.666666667	4.166666667	4.166666667	0.833333333	3.333333333	2.5
id309	0	0	0	0	0	0	0	0	0
id31	1	3	2	21	0	15	17	4	39
id310	3.25732899	5.863192182	2.605863192	2.280130293	1.302931596	7.491856678	14.33224756	19.86970684	27.03583062
id311	0	0	0	0	0	0	0	0	0
id312	0	0	0	0	0	0	0	0	0
id313	0	0	0	0	5	3.333333333	0	0	0
id314	3.333333333	3.333333333	0	6.666666667	1.666666667	0	6.666666667	0	5
id315	71.66666667	68.33333333	21.66666667	8.333333333	0	0	110	71.66666667	328.3333333
id316	5	5	0	1.666666667	0	0	346.6666667	236.6666667	490
id317	0	0	0	1.666666667	3.333333333	0	0	0	0
id318	0	0	0	5	6.666666667	0	0	0	0
id319	2.857142857	15.71428571	0	88.57142857	130	0	20	10	24.28571429
id32	0	0	1	3	1	0	1	0	21
id320	3068.571428	791.4285714	880	10745.71429	17295.71429	13181.42857	389.9999999	238.5714286	520
id321	397.1428571	302.8571428	494.2857143	807.1428571	1047.142857	494.2857142	397.1428571	561.4285715	734.2857142
id322	0	0	0	14.28571429	22.85714286	70	1.428571429	4.285714286	1.428571429
id323	4.285714287	11.42857143	0	7.142857143	0	85.71428572	10	7.142857143	17.14285714
id324	147.6470588	5.294117647	8.823529412	0	4.117647059	0	0	0	0
id325	0.588235294	0.294117647	0.294117647	0	0	0	0	0	0
id326	0	0	0	0	0	0	0	0	0
id327	0	0.294117647	0.882352941	0	0	0	0	0	0
id328	17.64705882	9.411764706	11.17647059	2.941176471	1.764705882	0	1.764705882	1.176470588	1.764705882
id329	2.352941176	0.588235294	1.470588235	1.176470588	1.176470588	0	0.882352941	0.294117647	0
id33	3015	619	1043	4757	2896	7858	3215	1078	321
id330	2.058823529	0.882352941	0.588235294	0	0.882352941	0	0	0	0
id331	2.647058823	0.882352941	1.470588235	0.882352941	0.882352941	0	0	0	0
id332	0.294117647	0	0	1.764705882	3.529411765	0	0	0	0
id333	1295.555556	355.5555556	620	100	328.8888889	583.3333333	168.8888889	290	223.3333333
id334	13.33333333	27.77777778	10	37.77777778	82.22222222	598.8888889	84.44444444	84.44444444	120
id335	1780.000001	615.5555555	1191.111111	214.4444444	527.7777778	671.1111111	612.2222222	704.4444445	552.2222222
id336	4.444444444	0	0	0	0	0	0	0	0
id337	22.22222222	13.33333333	22.22222222	1.111111111	7.777777778	1.111111111	21.11111111	32.22222222	140
id338	0	0	1.111111111	1.111111111	0	0	14.44444444	0	12.22222222
id339	5.27173913	3.586956522	6.902173913	0.923913043	0.489130435	0.380434783	3.043478261	6.413043478	12.01086957
id34	0	0	0	0	0	0	0	0	0
id340	0	0	0.163043478	0.054347826	0.054347826	0	1.630434783	0.163043478	1.304347826
id341	10.97826087	14.89130435	27.82608696	0.869565217	0.108695652	1.304347826	316.3043478	241.1413044	146.4130435
