#OTU ID	SKBlu1Feb	SKBlu2Feb	SKBlu3Feb	SKLKW1Feb	SKLKW2Feb	SKLKW3Feb	SKSha1Feb	SKSha2Feb	SKSha3Feb
id209	11.93708253	32.82697694	18.71723049	28.90181714	41.69360052	25.10593981	261.4666379	130.7261366	144.4444444
id21	892	5566	1739	1359	1150	824	637	1352	759
id210	60	44	73.33333333	38.33333333	50	69.33333333	61.66666667	88.66666667	97
id211	29	23	18	92	52	71	0	0	0
id212	0	0	0	0	1.19760479	0	0	0	0
id213	0	3.333333334	5.238095238	0	0	0	0	3.333333334	0
id214	0	0	0	0	0	0	1.428571429	1.428571429	0
id215	0	0	0	0	0	0	0	0	0
id216	20	87	81	37	41	51	4	0	0
id217	0	1.538461538	0	0	0	6.923076923	0	0	0
id218	414.9758454	84.5410628	115.4589372	236.7149758	300.4830918	32.85024155	0	0	0
id219	0	5.384615385	0	0	0	0	0	0	0
id22	0	0	0	9	0	0	0	0	1
id220	8	15	24	26	36	102	0	0	0
id221	0	0	0	0	0	0	0.952380952	0	0
id222	0.952380952	1.428571429	0	0	0	0	0	0	0
id223	11.93415638	6.172839506	0	27.16049383	30.4526749	0	3.29218107	0	10.28806584
id224	9.529860229	3.176620076	6.099110546	2.287166455	1.778907243	2.287166455	0.254129606	0	0
id225	2.5	0.769230769	1.730769231	2.115384615	0.576923077	0.384615385	0	0	0
id226	21.11111111	11.11111111	14.44444444	27.77777778	40	50	1.111111111	0	0
id227	77	103	95	79	132	159	2	3	7
id228	0	0	0	0	0	0	0	0	0
id229	0	11.11111111	0	0	0	3.240740741	0	0	0
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	0	0	0	0
id231	0	3	1	23	16	24	0	0	0
id232	37.14285714	9.047619048	0	1.904761905	0	0	12.38095238	10	6.666666667
id233	13.86602099	13.97094431	19.52380952	7.619047619	6.666666667	12.85714286	22.38095238	4.761904762	17.61904762
id234	0	1.265822785	0	0	0	0	0.632911392	1.265822785	0
id235	0	0	0	0	0	0	0	0	0
id236	0	0	0	0	0	0	0	0	0
id237	277	280	241	133	332	286	97	29	20
id238	0	0	0	0	0	0	0	0	0
id239	0	0	2.702702703	4.504504505	0	12.61261261	0	0	0
id24	0	124	0	37	13	32	47	5	36
id240	112	192	182.5	109	222.5	265.5	11	6	10.5
id241	13.51351351	27.92792793	36.93693694	8.108108108	35.13513514	0	6.306306306	3.603603604	0
id242	5.5	0	2.5	0	2	4.5	0	0	0
id243	0	0	0	0	0	0	0	0	0
id244	0	0	0	0	0	0	0	0	0
id245	0	0	0	0	0	0	0.666666667	6	0
id246	5.714285714	11.42857143	7.479674797	6.19047619	5.714285714	4.761904762	6.666666667	3.80952381	4.285714286
id247	5.6	5.2	2	0	0	2.8	0	2	0
id248	203.9325843	194.3820225	228.6516854	183.7078652	89.88764045	93.82022472	245.5056179	366.8539326	492.6966291
id249	192.8596827	221.4389763	201.3234342	151.3451419	71.93673133	112.0147809	314.8816733	393.354933	561.3793144
id25	54	29	9	151	11	8	1	0	2
id250	3.584229391	5.017921147	7.168458781	9.318996416	7.168458781	16.4874552	0	0	0
id251	34.14634146	55.28455284	69.91869918	104.8780488	109.7560976	124.3902439	33.33333333	20.32520325	6.504065041
id252	5.158730159	0	0	3.174603175	0	0	0	7.53968254	0
id253	130	116	92	247	206	222	203	241	272
id254	28.57142857	34.12698413	30.15873016	36.9047619	37.3015873	32.14285714	12.6984127	11.9047619	12.6984127
id255	1155.065563	597.0082816	299.168392	1238.481712	656.542443	406.2663906	818.2815735	642.3913043	507.6501035
id256	0	0	1.140684411	0	0	0	0	0	0
id257	0	0	8.130081301	0	0	0	0	0	0
id258	33.69175627	41.93548387	58.42293907	22.9390681	20.78853047	18.99641577	24.73118279	41.57706093	48.38709677
id259	320.4	420	490.8	179.6	167.2	231.2	752.4	1224.8	1529.6
id26	26235	4035	12445	533	97	166	1	3	28
id260	20	20	15.2	9.2	6	15.2	20	30	34.4
id261	0	0.333333333	2.333333333	0	0	0	0	0	0
id262	11.23595506	8.426966292	20.78651685	21.91011236	30.33707865	25.84269663	1.685393258	1.685393258	0
id263	0	0.358422939	0.716845878	0	0	0	0	0	0
id264	2	7.25	14	0	9.75	2	0	0	0
