#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id226	61.11111111	25.55555555	141.1111111	77.22222222	0	26.66666667	45	48.33333334	47.22222223
id227	85	193	142	18	29	9	3	22	15
id228	6.481481481	4.166666667	9.722222222	1.388888889	0	1.851851852	0	3.240740741	6.944444444
id229	0.925925926	5.555555556	14.35185185	15.74074074	0	4.166666667	3.240740741	5.092592593	5.555555556
id23	0	1	2	0	1	0	0	0	0
id230	0	0	0	0	0	0	0	1.398601399	0
id231	31	165	184	36	0	8	2	44	16
id232	0	0	0	0	0	0	0	0	8.571428572
id233	71.98547216	28.69249395	81.67592581	37.06214689	64.76190476	26.84019371	106.8886199	44.03868766	30.3098741
id234	0	1.898734177	2.53164557	7.594936709	0	0	0	0	0
id235	0	8	4	0	0	1	0	0	0
id236	0.423728814	1.271186441	0.423728814	0	0	0	0	3.389830508	0
id237	0	3	25	26	0	20	68	24	3
id238	0.757575758	0	6.818181818	6.060606061	0	0.757575758	0	1.515151515	0.757575758
id239	166.6666667	72.97297297	236.036036	62.16216216	18.01801802	26.12612613	91.89189189	63.96396396	56.75675676
id24	0	0	0	0	1	0	0	0	0
id240	82	70	84	65	0	17.5	0	62	29
id241	7.207207207	4.504504505	56.75675675	67.56756756	0	31.53153153	22.52252252	21.62162162	20.72072072
id242	76.5	5	107.5	41	0	18.5	2	39.5	13
id243	20.5	19.5	66.5	39	0	15	1	13	14
id244	0	0.5	1.5	0	0	1.5	0	5	0
id245	0	2.666666667	0	2	0	2	0.666666667	0.666666667	2
id246	18.38559814	58.53658537	34.80836237	7.11962834	0	15.07549361	24.05342625	9.500580721	11.46341463
id247	0	2	2	2	0	1.2	2.8	1.2	0
id248	23.59550562	19.1011236	60.6741573	17.97752809	0	37.07865169	23.59550562	29.21348315	46.06741573
id249	142.9800083	182.1641614	113.1073864	65.41572247	23.04858895	127.0619633	141.4254016	94.41134262	98.78466237
id25	53	6	125	2	0	56	151	2	1
id250	12.54480287	9.318996416	8.960573477	16.12903226	0	11.46953405	1.792114695	21.50537634	10.03584229
id251	23.57723577	57.72357723	38.21138211	59.34959349	14.63414634	57.72357723	8.1300813	76.42276422	64.22764227
id252	0	0	0	0	0	0	0.396825397	0	0
id253	0	0	0	0	0	0	0	0	0
id254	21.42857143	50.79365079	56.74603175	28.96825397	9.920634921	37.3015873	7.936507937	28.17460317	22.22222222
id255	142.2187716	289.8654245	104.1856453	173.1538992	3.174603175	266.7839889	411.0455486	155.8212561	354.0200138
id256	0	0	0	0	14.82889734	0	0	0	0
id257	48.7804878	0	53.65853659	28.45528455	30.89430894	15.44715447	7.317073171	6.504065041	13.00813008
id258	9.318996416	30.82437276	52.3297491	16.12903226	1.433691756	23.29749104	93.90681004	18.27956989	18.27956989
id259	100.8	105.2	152	9.6	4.8	90.8	110	48	57.6
id26	0	0	0	0	0	0	0	0	5
