#OTU ID	LTCC1Nov	LTCC2Nov	LTCC3Nov	LTCMW1Nov	LTCMW2Nov	LTCMW3Nov	LTPC1Nov	LTPC2Nov	LTPC3Nov
id207	5.128205128	4.273504274	7.692307692	9.401709402	10.25641026	5.128205128	11.96581197	14.52991453	2.564102564
id208	157.8803419	188.3589743	172.8931624	209.5811966	238.5299146	285.0854701	211.5	192.1153846	100.0811966
id209	0	0	1.260504202	11.90835309	14.09538175	7.692307692	0.420168067	0.420168067	0.854700855
id21	846	1458	250	237	874	453	2504	738	3380
id210	5	1	9.666666666	11	6	17.66666667	8.333333333	2	0
id211	10	15	5	11	24	33	5	4	2
id212	0	0	0	0	0	0	0	0.598802395	0
id213	17.52380952	14.76190476	28.28571428	16.85714286	6.19047619	8.571428572	24.38095238	8.19047619	4.571428571
id214	0	0	0	0.476190476	0	0	0	0	0
id215	5	2	2	2	0	0	1	0	0
id216	362	274	295	150	121	106	93	111	130
id217	476.0083161	416.7151767	459.97921	1380.33264	636.7359668	791.1850312	509.1683992	462.6611227	208.5862786
id218	3018.357488	3914.009662	2456.038647	1168.599034	3328.502415	2128.985507	4014.009662	4182.125604	1421.73913
id219	1.538461538	0	0	0.769230769	0	0	6.923076923	3.846153846	0
id22	67	9	12	9	57	141	8	16	7
id220	4	8	12	1	4	0	3	12	3
id221	2.380952381	0.476190476	0	0.952380952	0	0	0	0	0
id222	1.428571429	2.857142857	5.238095238	0	0	0	2.380952381	0	0
id223	1.646090535	2.880658436	2.469135802	4.526748971	0	2.880658436	11.93415638	7.818930041	2.057613168
id224	0	0.889453621	0.254129606	0	0.254129606	0	1.524777637	1.016518424	2.668360864
id225	0	0	0	0	0	0	1.538461538	0	0
id226	57.77777778	35.55555556	100	18.88888889	16.66666666	40.55555555	23.88888888	31.66666667	5.555555556
id227	42	49	48	79	69	65	44	55	64
id228	3.240740741	7.87037037	4.166666667	7.407407407	2.777777778	0	0.925925926	1.388888889	0
id229	2.777777778	0	0	5.092592593	0	0	0	2.314814815	0
id23	134	9	1683	112	57	0	0	7	2
id230	1.398601399	0	0	0	0	0	0	0	82.51748252
id231	20	10	7	13	2	3	17	10	11
id232	2.380952381	5.714285714	2.857142857	15.71428571	0	21.9047619	3.80952381	0	0
id233	85.73446328	38.86198548	67.56255044	48.11541566	36.25504439	50.81517352	30.07667474	32.15324295	22.03389831
id234	0	0	0	4.430379747	0	0.632911392	0	0	0
id235	1	0	0	0	0	0	0	0	0
id236	16.52542373	5.084745763	13.98305085	2.542372881	1.271186441	6.779661017	8.474576271	6.355932203	11.86440678
id237	3	14	0	12	0	25	0	22	3
id238	0	0	0	0	0.757575758	0	1.515151515	2.272727273	0
id239	45.04504505	18.01801802	27.92792793	5.405405405	0	13.51351351	25.22522523	36.03603604	110.8108108
id24	0	0	0	0	0	0	1	0	0
id240	16	6	29.5	9	8.5	10	12	29.5	8
id241	14.41441441	14.41441442	22.52252252	15.31531532	8.108108108	41.44144145	28.82882883	63.06306307	56.75675675
id242	11	6.5	21	0.5	3.5	6.5	10	9	17
id243	2.5	3	2.5	6	1.5	7	9	6	3.5
id244	6.5	1	0	1	0	2.5	1	0	1.5
id245	6.666666667	2.666666667	2.666666667	0.666666667	5.333333333	3.333333334	2	0.666666667	1.333333333
id246	14.71544715	15.72590012	22.05574913	10.59233449	9.55865273	12.21835076	8.013937282	13.70499419	6.504065041
id247	7.2	3.2	6	5.2	8.4	9.6	3.2	4	2.4
id248	37.64044944	51.12359551	57.30337079	60.6741573	41.57303371	41.57303371	52.24719101	40.4494382	24.71910112
