#OTU ID	HKBea1Aug	HKBea2Aug	HKBea3Aug	HKSW1Aug	HKSW2Aug	HKSW3Aug	HKSta1Aug	HKSta2Aug	HKSta3Aug
id198	36.25	31.5625	25	2.1875	0.3125	0	6.875	2.1875	22.1875
id199	10.8	9.4	7.6	8.4	8.6	7.6	140.8	79.8	15
id2	5	72	4	4	6	10	316	12	30
id20	5	11	10	10	1	0	22	18	3
id200	0	2.045454545	1.136363636	2.5	0.909090909	0.909090909	2.045454545	0	3.181818182
id201	29.375	27.5	35.3125	54.0625	35.3125	35	49.375	34.0625	25
id202	383.4375	244.375	414.6875	263.4375	222.5	179.0625	499.0625	405.9375	470
id203	95.9375	88.75	92.1875	112.1875	138.75	132.8125	90.3125	68.4375	91.25
id204	0	0	0	0	0	0	0	0	0
id205	7.719928187	7.540394974	11.66965889	12.38779174	8.797127469	9.874326751	30.3411131	22.2621185	17.77378815
id206	487.1875	439.0625	631.875	437.1875	280.3125	224.0625	550.9375	497.8125	379.6875
id207	0	1.709401709	7.692307693	7.692307692	11.11111111	15.38461539	5.128205128	0	0
id208	202.8076923	154.7008547	191.8418803	180.4230769	191.551282	191.4230769	110.517094	97.88888889	202.9529914
id209	23.73051785	31.94354665	32.71205919	74.53494218	41.33089133	45.12676865	75.44710192	44.17151476	52.67542915
id21	673	1733	388	3729	1768	377	1131	237	75
id210	111.6666667	151	134.3333333	78.33333333	65	39	87.66666667	61.33333334	107.6666667
id211	14	11	8	26	17	32	6	10	4
id212	0	0	0	0	0	0	0	0	0
id213	102.2857143	104.1904762	116.3809524	187.4285714	164.4761905	167.6190476	69.33333333	79.90476191	85.23809524
id214	20	21.9047619	11.42857143	13.80952381	17.61904762	9.523809524	12.85714286	15.71428571	17.14285714
id215	55	53	44	115	63	290	6	2	56
id216	82	131	46	271	248	740	21	0	61
id217	13.43035343	55.88357588	15.82120582	14.65696466	44.24116424	18.2952183	9.72972973	18.83575884	21.76715177
id218	60.38647343	150.7246377	41.54589372	9.178743961	28.50241546	76.8115942	0	0	46.85990338
id219	0	0	0	0	0	0	5.384615385	0	2.307692308
id22	0	0	0	53	3	9	2	0	0
id220	0	0	3	5	3	0	3	0	3
id221	30.95238095	56.66666667	20.95238095	24.28571429	27.14285714	16.66666667	14.76190476	17.14285714	13.33333333
id222	0	0.476190476	5.238095238	3.80952381	4.761904762	2.857142857	0	4.761904762	0
id223	266.255144	339.9176954	203.7037037	0	231.6872428	151.8518519	104.526749	67.48971194	214.4032922
id224	0.762388818	6.480304955	2.795425667	1.27064803	1.778907242	1.143583227	4.066073697	2.668360864	2.414231258
id225	0	0.384615385	1.153846154	0.192307692	0	0	1.153846154	0	0
id226	2.777777778	6.111111111	3.888888889	10	6.666666667	27.77777778	0	0	3.888888889
id227	8	7	3	21	37	51	11	5	12
id228	3.703703704	5.555555556	2.777777778	15.27777778	14.35185185	3.703703704	3.703703704	6.481481481	5.555555556
id229	0	1.851851852	0	2.314814815	2.314814815	3.240740741	0	0	0
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	0	0	0	0
id231	0	6	0	13	11	15	0	0	0
id232	223.8095238	281.4285715	103.3333333	0	588.5714286	403.8095238	89.04761905	101.9047619	304.7619047
id233	103.71134	113.5471336	78.11176935	217.7699799	180.7128723	241.6404461	38.61415994	49.20969507	108.3274337
id234	206.3291139	286.0759493	155.0632912	311.3924051	227.2151899	244.9367088	72.15189873	49.36708861	162.6582278
id235	58	85	60	676	547	683	73	83	178
id236	1.694915254	1.694915254	0.847457627	2.118644068	4.661016949	3.813559322	0.423728814	1.271186441	1.694915254
id237	21	15	32	96	63	94	53	12	26
id238	9.848484848	8.333333333	12.12121212	31.81818182	21.21212121	36.36363636	11.36363636	8.333333333	10.60606061
id239	2.702702703	22.52252252	9.009009009	19.81981982	12.61261261	36.93693694	0	0	3.603603604
id24	0	2	0	3	0	0	0	0	0
id240	28.5	30	17.5	53.5	28.5	80	21.5	13	27.5
id241	6.306306306	18.01801802	8.108108108	45.94594594	30.63063063	36.93693694	18.91891892	14.41441441	11.71171171
id242	0	1.5	0	0	0	3.5	0	0	0
id243	9.5	12	7.5	15	11.5	32.5	4	0	3.5
id244	86.5	97.5	54.5	27	18	16.5	17.5	34	38
id245	131.3333333	148	167.3333333	93.33333333	50.66666667	59.33333334	64.66666666	126	94.66666666
id246	0.952380952	3.054587689	0	4.343786295	4.680603949	4.483159117	1.428571429	0	0
id247	20.8	24	16.8	22	13.2	11.2	16	19.6	14
id248	38.20224719	67.41573034	49.43820225	36.51685393	51.68539326	27.52808989	88.20224719	66.85393258	46.62921348
id249	106.2470103	91.1258154	140.7507924	105.133974	90.59864194	86.29344122	160.5760306	137.8848823	108.1131866
id25	17	140	173	5638	100	83	5	0	159
id250	14.33691756	26.52329749	15.41218638	8.602150538	16.12903226	7.885304659	5.734767025	7.168458781	14.6953405
id251	1047.96748	946.3414634	1488.617886	756.9105691	552.0325204	484.5528455	908.9430894	978.8617886	850.406504
id252	8.333333333	0.793650794	0	0	5.555555556	3.571428571	15.87301587	0	0
id253	0	0	0	0	0	0	20	19	0
id254	29.76190476	22.61904762	14.28571429	29.36507937	20.63492063	40.07936508	14.28571429	13.0952381	27.38095238
id255	857.5258799	688.6059351	1128.612836	941.9116633	637.2222222	473.968254	2058.426501	1760.700483	1125.031056
id256	0	0	0	0	0	0	0	0	0
id257	1.62601626	1.62601626	4.87804878	8.130081301	4.87804878	4.06504065	0	0	4.87804878
id258	8.243727599	10.75268817	10.39426523	9.677419355	7.52688172	10.03584229	7.168458782	3.584229391	3.94265233
id259	13.2	11.2	21.6	23.6	26.4	18.4	58.4	76.4	22
id26	12	2	5	0	0	0	0	0	31
id260	1.6	1.2	5.2	7.6	6.8	7.2	7.2	7.2	2
id261	0	0	0	0	0	0	0	0	11
id262	5.617977528	3.370786516	0	7.303370787	2.247191011	8.426966292	0	0	8.426966292
id263	0	1.075268817	1.792114695	0	1.075268817	2.150537634	0	0	1.075268817
id264	0	1.5	1.5	2	4.75	0.5	0	0	2
id265	0	0.979020979	0.41958042	0.699300699	1.398601399	0	0	0	1.678321678
id266	13.41853035	12.4600639	7.348242811	8.306709265	13.73801917	7.66773163	8.306709265	7.348242812	7.987220447
id267	4.153354633	3.194888179	4.47284345	5.750798722	1.277955272	4.792332268	1.277955272	0	3.833865815
id268	4.153354633	7.667731629	3.194888179	10.86261981	9.584664536	1.916932907	5.750798722	1.597444089	10.86261981
id269	2.236421725	0.958466454	0.958466454	3.833865815	2.555910543	1.277955272	1.916932907	1.916932907	1.916932907
id27	22	107	0	12	2	2	16	14	93
id270	0	0	0.5	0	0	0	0	0	0
id271	1.118568233	3.131991051	1.565995526	3.579418345	2.460850112	2.460850112	0	0.67114094	0
id272	0	0	0	0	0	0	3.75	4	0
id273	0.19047619	0.19047619	0	0	0.380952381	0.19047619	0	0	14.47619048
id274	2.435897436	1.153846154	2.564102564	1.666666667	1.025641026	0.769230769	2.179487179	2.307692308	1.923076923
id275	0	0	0	0	0	0	0	0	0
id276	4.957904584	3.74181478	3.741814781	5.332086062	2.993451824	5.144995323	12.34798877	10.47708138	3.367633303
id277	5.283018868	3.396226415	3.396226415	10.18867925	18.49056604	24.15094339	7.547169811	7.169811321	4.905660377
id278	8.799214746	10.03599084	5.507688952	15.23830298	10.8626895	17.87981242	2.288144836	4.150943396	5.660377358
id279	73.20754717	105.6603774	60	87.9245283	77.35849057	50.94339623	106.4150943	173.5849057	81.13207547
id28	210	2	22	0	10	0	1	2	14
id280	1.5625	2.5	0.9375	0	0	0	0	0	0.9375
id281	5.5	0	3.5	5.5	1	1	24.5	23	7.5
id282	23	21.5	39.5	0	22	26	71.5	90.5	34.5
id283	321.5	294	243	88	298	297	475.5	1100.5	343.5
id284	11.69811321	10.18867925	12.0754717	30.18867924	21.88679246	18.11320755	13.20754717	12.83018868	14.33962265
id285	23.01886793	18.86792452	24.52830189	19.62264151	15.47169811	12.0754717	34.71698114	35.47169812	16.22641509
id286	0	2.768729642	0.488599349	1.302931596	1.465798046	3.583061889	0	0	7.491856678
id287	4.068522484	11.53490364	7.922912206	0	1.713062099	1.284796574	3.597858672	2.78372591	6.638115632
id288	4.285714286	4.464285714	4.642857143	9.642857143	6.071428571	4.821428571	6.071428571	6.785714286	4.107142857
id289	5.283018868	3.773584906	5.283018868	10.18867925	6.41509434	14.33962264	6.037735849	9.056603774	6.037735849
id29	1	87	5	3	0	0	17	4	244
id290	40	43.77358491	40.37735849	53.58490566	46.79245283	45.28301887	57.73584906	77.73584906	40.75471698
id291	14	14.5	16	13.5	8.5	6	29.5	44.5	22
id292	0	0	0	0	0	0	0	0	1.234567901
id293	86.41509435	75.09433962	75.84905661	129.0566038	146.7924528	107.1698113	82.26415095	138.490566	114.7169811
id294	29.43396226	27.9245283	27.9245283	84.1509434	82.64150943	76.22641509	31.69811321	19.24528302	35.8490566
id295	0	6.936416185	0	0	0	0	0	0	0
id296	0	0	3.396226415	1.886792453	0	0	1.886792453	0	0
id297	4.528301887	1.886792453	0	3.396226415	3.773584906	6.41509434	0	2.641509434	3.396226415
id298	195	252	199	399	282.4285714	370.952381	205	205	189
id299	491.1944445	805.9722222	407.1944444	1152.361111	1458	1993.25	125.8055556	12.11111111	591.1111111
id3	0	0	0	64	2	0	0	0	0
id30	2	51	4	3	0	1	0	0	0
id300	0	0	0	0	0	0	0	0	0
id301	1.333333333	0.666666667	0	9.333333333	7.333333333	16.66666667	0	0	7.333333333
id302	6.333333334	13.66666667	6.333333333	37.33333333	25	35.16666666	41.16666667	60.33333334	36
id303	1.666666667	5.333333333	0.666666667	2.5	1.666666667	9.333333334	0	4.166666667	0
id304	102	70.5	43	16	17.5	11.5	15	32.5	62
id305	0	3.5	3	3.5	3	1.5	0	6.5	3
id306	168.8	164.8	132.8	315.2	263.2	173.6	133.6	604	277.6
id307	25.92592593	28.14814815	14.81481481	36.66666667	27.03703703	35.18518518	8.148148148	51.85185186	18.51851852
id308	6.666666667	4.166666667	0	18.33333333	7.5	23.33333333	0	0	5
id309	5.172413793	0.344827586	2.75862069	18.96551724	7.586206897	8.620689655	5.517241379	11.72413793	11.72413793
id31	23	18	6	190	38	32	132	117	190
id310	0.651465798	0.325732899	0.651465798	3.583061889	2.605863192	0.977198697	1.628664495	3.908794788	3.25732899
id311	0	0	0	0	0	0	0	0	0
id312	36.66666667	30	73.33333333	355	0	3.333333333	1.666666667	296.6666667	15
id313	16.66666667	5	10	35	6.666666667	13.33333333	25	6.666666667	11.66666667
id314	1.666666667	0	0	0	8.333333333	5	0	3.333333333	0
id315	3.333333333	0	0	0	0	0	0	0	5
id316	0	0	0	0	0	0	0	0	0
id317	0	0	0	0	0	0	0	0	0
id318	510	115	123.3333333	151.6666667	91.66666667	126.6666667	166.6666667	90	120
id319	2.857142857	1.428571429	4.285714286	8.571428571	7.142857143	1.428571429	22.85714286	38.57142857	0
id32	5	12	4	48	17	2	14	73	229
id320	541.4285714	382.8571429	630	877.1428571	425.7142857	74.28571429	5684.285714	9344.285714	84.28571429
