#OTU ID	SKBlu1Nov	SKBlu2Nov	SKBlu3Nov	SKLKW1Nov	SKLKW2Nov	SKLKW3Nov	SKSha1Nov	SKSha2Nov	SKSha3Nov
id197	0.625	0	0	0.3125	0	0	0	0	0
id198	0	0.3125	0	3.75	0	5	9.6875	0	1.5625
id199	6.8	4.6	4.4	5.2	4	9.2	14	19.8	11.4
id2	4	8	0	5	4	0	0	0	0
id20	7	7	5	17	113	11	150	85	106
id200	5.454545455	1.363636364	6.136363636	0	0	1.818181818	2.5	4.318181818	2.272727273
id201	95.9375	52.8125	61.25	35.3125	58.75	60	16.25	37.8125	19.6875
id202	203.4375	115	194.6875	122.5	184.375	185.3125	89.6875	149.0625	112.5
id203	310.3125	165.625	227.5	150.625	194.0625	201.25	32.5	82.1875	50.9375
id204	0	0	0	0	0	0	0	0	0
id205	1.97486535	1.436265709	0	1.436265709	2.513464991	1.615798923	3.231597846	1.615798923	1.436265709
id206	30.9375	18.75	15.9375	26.5625	45.625	28.75	53.125	58.125	72.8125
id207	192.3076923	141.025641	212.8205128	113.6752137	147.008547	132.4786325	24.78632479	97.43589743	33.33333333
id208	435.3418803	315.2948718	387.2692307	474.5897436	861.2863248	648.2905983	191.3418803	249.8333334	221.465812
id209	11.96581197	3.781512605	11.08238167	2.129569776	11.05365223	3.361344538	5.113840408	0.840336134	8.938447174
id21	5710	12162	2358	2863	2905	4466	335	1802	2042
id210	14	5.666666667	9.333333334	5	14.33333333	6.666666667	4	8.666666667	5.666666666
id211	19	37	28	11	23	9	7	27	23
id212	3.592814371	0	0	0	0	0	0	0	0
id213	13.52380953	7.142857144	16.28571428	11.04761905	24.57142857	14.19047619	9.999999999	18.38095238	15.33333333
id214	0	0	0	0	0	0	0	0	2.857142857
id215	3	0	0	0	4	2	0	0	0
id216	185	170	170	108	104	93	15	23	10
id217	174.7609147	216.2993763	231.1850312	266.5904366	181.4137215	216.1538462	528.1496881	399.3347193	379.2099792
